Name,BSE Code,NSE Code,Industry,Current Price,Sales latest quarter,Profit after tax latest quarter,YOY Quarterly sales growth,YOY Quarterly profit growth,Sales growth,Profit growth,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,EBIT latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,NPM latest quarter,Equity Capital latest quarter,EPS latest quarter,Operating profit 2quarters back,Operating profit 3quarters back,Sales 2quarters back,Sales 3quarters back,Net profit 2quarters back,Net profit 3quarters back,Operating profit growth,Last result date,Expected quarterly sales growth,Expected quarterly sales,Expected quarterly operating profit,Expected quarterly net profit,Expected quarterly EPS,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,EBIT preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,NPM preceding quarter,Equity Capital preceding quarter,EPS preceding quarter,Market Capitalization,join_key
Abhinav Capital,532057.0,__NA__,Finance & Investments,207.75,2.31,0.82,-1.28,-48.75,16.45,-4.34,1.99,0.0,1.99,0.0,1.99,1.05,0.94,0.12,0.0,0.82,100.0,86.15,35.5,6.92,1.18,2.79,6.31,3.03,6.6,1.55,5.28,13.4,202403.0,63.41,10.79,10.04,8.97,12.96,3.35,3.13,0.0,3.13,0.0,3.13,1.01,2.12,0.5,1.62,0.0,1.62,93.43,48.36,6.92,2.34,143.86,532057.0___NA__
Abhinav Leasing,538952.0,__NA__,Finance & Investments,2.69,13.77,-1.05,166.86,-3600.0,-21.67,70.0,0.64,0.08,0.72,0.01,0.71,1.7,-0.99,0.05,0.0,-1.05,7.33,4.65,-7.63,5.0,-0.21,0.02,-0.05,6.99,5.23,0.03,0.03,-27.94,202403.0,62.74,8.51,0.11,-1.61,-0.32,6.78,0.37,0.16,0.53,0.01,0.52,0.01,0.51,0.0,0.51,0.0,0.51,5.46,7.52,5.0,0.1,13.45,538952.0___NA__
Abhishek Finle.,538935.0,__NA__,Finance & Investments,37.0,0.22,0.02,266.67,166.67,111.11,133.33,0.01,0.04,0.09,0.01,0.08,0.0,0.04,0.06,-0.04,-0.02,63.64,4.55,9.09,4.26,-0.05,0.06,0.02,0.35,0.11,0.08,0.03,-6.25,202403.0,259.12,0.4,0.06,0.05,0.11,0.27,0.06,0.02,0.08,0.01,0.07,0.0,0.07,0.0,0.07,0.0,0.07,22.22,25.93,4.26,0.16,15.78,538935.0___NA__
Abhishek Infra.,539544.0,__NA__,Construction,7.14,0.0,-0.07,-100.0,-123.33,-100.0,,-0.07,0.0,-0.07,0.0,-0.07,0.0,-0.07,0.0,0.0,-0.07,,,,5.05,-0.14,-0.09,-0.05,0.0,0.0,-0.09,-0.05,,202403.0,,,,,,0.0,-0.05,0.0,-0.05,0.0,-0.05,0.0,-0.05,0.0,-0.05,0.0,-0.05,,,5.05,-0.1,3.6,539544.0___NA__
Abhishek Integr.,-1.0,AILIMITED,Construction,69.45,14.59,,,,12.86,14.93,1.01,,,,,,,,,0.5,,,,,0.83,,,,,,,27.74,202403.0,,,,,,10.86,0.74,,,,,,,,,,0.27,,,,0.45,41.82,-1.0_AILIMITED
Abirami Fin.,511756.0,__NA__,Finance & Investments,58.2,0.0,0.25,,525.0,,-90.07,-0.17,0.58,0.41,0.0,0.41,0.0,0.41,0.15,0.0,0.25,,,,5.4,0.46,-0.24,-0.14,0.0,0.0,0.12,0.17,41.46,202403.0,,,,,,0.0,-0.17,0.48,0.31,0.0,0.31,0.01,0.3,-0.61,0.91,0.0,0.91,,,5.4,1.69,31.43,511756.0___NA__
ABM Knowledge,531161.0,__NA__,Computers - Software - Medium / Small,148.0,23.1,5.84,46.2,85.99,19.8,15.53,6.25,1.76,8.01,0.28,7.73,0.04,7.69,1.85,0.0,5.84,100.0,27.06,25.28,10.0,2.92,3.25,2.27,19.95,17.41,3.4,3.06,3.9,202403.0,21.74,21.2,3.32,2.94,1.47,18.18,2.1,1.44,3.54,0.29,3.25,0.07,3.18,0.61,2.58,0.0,2.58,11.55,14.19,10.24,1.29,296.03,531161.0___NA__
ABS Marine,-1.0,ABSMARINE,Shipping,357.0,,,,,21.13,176.41,,,,,,,,,,,,,,,,,,,,,,59.85,202403.0,,,,,,,,,,,,,,,,,,,,,,876.45,-1.0_ABSMARINE
ACC,500410.0,ACC,Cement - North India,2647.95,5408.72,730.45,12.9,158.23,-10.14,130.83,836.78,349.99,957.21,235.03,722.18,66.7,885.04,-59.8,229.56,944.84,49.61,15.47,13.51,187.99,50.31,549.28,770.88,4434.73,5201.11,387.88,466.14,59.05,202403.0,12.31,5841.3,883.31,556.03,29.61,4914.36,904.72,93.73,998.45,235.23,763.22,33.91,729.31,191.64,537.63,0.0,537.67,18.41,10.94,187.99,28.63,49725.17,500410.0_ACC
Accedere,531533.0,__NA__,Computers - Software - Medium / Small,85.5,0.79,-0.02,51.92,28.0,67.32,-133.33,-0.09,0.15,0.06,0.06,0.0,0.0,0.0,0.02,0.0,-0.02,100.0,-11.39,-2.53,4.49,-0.14,-0.01,0.01,0.42,0.36,-0.06,-0.04,50.0,202403.0,110.31,0.76,0.0,,,0.98,0.07,0.0,0.07,0.05,0.02,0.0,0.02,0.0,0.02,0.0,0.02,7.14,2.04,,0.12,43.01,531533.0___NA__
Accel,517494.0,__NA__,Computers - Software - Medium / Small,22.46,49.87,1.15,1.16,269.12,6.67,26.04,4.31,0.24,5.01,1.43,3.58,1.75,1.37,0.51,-0.46,0.86,51.96,8.64,2.31,11.51,0.16,3.25,4.5,39.06,36.65,0.33,0.98,-6.69,202403.0,7.07,39.24,4.3,0.89,0.16,41.51,4.96,0.32,5.28,1.86,3.42,1.86,1.56,0.41,1.15,0.0,1.15,11.95,2.77,11.51,0.21,129.29,517494.0___NA__
AccelerateBS Ind,543938.0,__NA__,Computers - Software - Medium / Small,339.0,4.07,,,,142.14,-69.23,1.35,,,,,,,,,0.59,,,,,2.75,,,,,,,180.88,202403.0,,,,,,2.71,0.55,,,,,,,,,,-0.56,,,,-2.61,72.85,543938.0___NA__
Accelya Solution,532268.0,ACCELYA,Computers - Software - Medium / Small,1744.95,130.99,21.89,9.65,-21.29,12.35,4.64,50.67,-31.33,52.95,7.24,45.71,0.27,11.83,11.63,-33.61,0.2,100.0,38.68,16.71,14.93,0.13,48.44,49.19,127.29,122.5,31.53,32.11,8.78,202403.0,12.46,137.76,53.72,44.75,29.98,124.75,45.88,2.03,47.91,7.49,40.42,0.37,40.05,9.11,30.93,0.0,30.93,36.78,24.79,14.93,20.72,2605.21,532268.0_ACCELYA
Accent Microcell,-1.0,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.0,138.63,7.06,,,20.23,138.28,19.97,1.12,9.83,1.02,8.81,0.53,8.28,1.23,0.0,16.07,32.61,14.81,12.0,12.94,7.64,,,,,,,103.82,202403.0,,,,,,109.3,19.51,,,,,,,,,,14.1,,,,9.13,597.62,-1.0_ACCENTMIC
Accord Synergy,-1.0,ACCORD,Telecommunications - Service Provider,28.3,16.32,0.79,,,58.21,290.0,0.28,-0.17,1.52,0.27,1.25,0.23,0.85,0.23,-0.17,0.19,100.0,10.05,5.22,2.5,0.55,,,,,,,35.56,202403.0,,,,,,15.55,0.33,,,,,,,,,,0.2,,,,0.58,9.83,-1.0_ACCORD
Accuracy Shippi.,-1.0,ACCURACY,Miscellaneous,13.4,171.35,9.18,-3.49,60.77,-19.25,-93.64,14.44,0.05,14.49,3.46,11.03,2.79,8.24,-0.94,0.0,9.18,78.17,8.43,5.36,15.06,0.61,2.45,2.72,207.37,142.14,-2.08,-3.72,-31.92,202403.0,-16.38,118.85,3.51,-1.5,-0.1,187.47,4.42,-0.37,4.05,3.31,0.74,2.71,-1.97,0.92,-2.89,0.0,-2.89,2.36,-1.54,15.06,-0.19,201.74,-1.0_ACCURACY
ACE EduTremd Ltd,530093.0,__NA__,Miscellaneous,3.2,0.0,-0.02,,-100.0,,20.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,0.0,-0.02,,,,9.16,-0.02,-0.01,-0.01,0.0,0.0,-0.01,-0.06,28.57,202403.0,,,,,,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,,,9.16,-0.01,2.93,530093.0___NA__
Ace Engitech,530669.0,__NA__,Computers - Software - Medium / Small,21.56,0.0,-0.04,,-33.33,-100.0,-45.45,-0.04,0.0,-0.04,0.0,-0.04,0.0,-0.04,0.0,0.0,-0.04,,,,3.3,-0.12,-0.03,-0.06,0.0,0.0,-0.03,-0.06,-15.38,202403.0,,,,,,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,,,3.3,-0.06,7.12,530669.0___NA__
Ace Integrated,-1.0,ACEINTEG,Computers - Software - Medium / Small,34.18,3.32,0.74,50.23,208.33,32.27,-19.61,0.53,0.35,0.88,0.04,0.84,0.0,0.84,0.1,0.0,0.74,44.28,15.96,22.29,10.2,0.73,-0.22,-0.07,1.88,1.57,-0.19,0.03,-85.92,202403.0,46.63,2.3,-0.06,-0.09,-0.09,2.37,-0.14,0.03,-0.11,0.04,-0.15,0.0,-0.15,0.01,-0.16,0.0,-0.16,-5.91,-6.75,10.2,-0.16,34.86,-1.0_ACEINTEG
Ace Men,539661.0,__NA__,Trading,46.0,0.0,0.01,-100.0,101.37,-100.0,200.0,-0.06,0.09,0.03,0.0,0.03,0.01,0.02,0.0,0.0,0.01,,,,3.1,0.03,-0.08,-0.02,0.0,0.0,0.04,-0.02,-725.0,202403.0,,,,,,0.0,-0.08,0.16,0.08,0.0,0.08,0.01,0.07,0.01,0.06,0.0,0.06,,,3.1,0.19,14.24,539661.0___NA__
Ace Soft. Exp.,531525.0,__NA__,Computers - Software - Medium / Small,243.75,17.75,1.42,814.95,776.19,129.84,2993.75,1.07,1.79,2.86,0.47,2.39,0.13,2.26,0.44,0.0,1.82,100.28,6.03,10.25,6.4,2.22,-0.08,-0.27,1.98,1.9,0.98,-0.27,31.82,202403.0,602.72,,,,,2.09,-0.15,3.03,2.88,0.08,2.8,0.0,2.8,0.0,2.81,0.0,2.81,-7.18,134.45,4.68,6.0,156.0,531525.0___NA__
Achyut Healthcar,543499.0,__NA__,Trading,56.7,4.65,,,,127.41,147.83,-0.01,,,,,,,,,0.31,,,,,0.18,,,,,,,107.41,202403.0,,,,,,1.48,0.03,,,,,,,,,,0.26,,,,0.19,95.4,543499.0___NA__
ACI Infocom,517356.0,__NA__,Computers - Software - Medium / Small,2.44,0.27,0.14,92.86,600.0,,-10.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.06,0.0,0.14,100.0,74.07,51.85,11.05,0.01,0.13,0.08,0.42,0.16,0.1,0.06,146.15,202403.0,113.89,0.34,0.16,0.16,0.01,0.09,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.01,0.01,0.0,0.01,22.22,11.11,11.05,0.0,26.96,517356.0___NA__
Acknit Indus.,530043.0,__NA__,Textiles - Products,312.0,68.45,3.07,29.2,35.84,-7.47,-5.63,5.51,0.04,5.55,0.79,4.76,0.61,4.15,1.07,0.0,3.07,37.25,8.05,4.49,3.04,10.1,3.98,3.39,56.03,49.85,1.92,1.56,-9.0,202403.0,-1.98,48.86,3.6,2.24,7.37,46.33,4.02,0.03,4.05,0.84,3.21,0.53,2.68,0.67,2.0,0.0,2.0,8.68,4.32,3.04,6.58,94.84,530043.0___NA__
Acme Resources,539391.0,__NA__,Finance & Investments,33.1,1.84,-1.44,-91.06,-115.24,-66.12,-86.23,-1.9,0.0,-1.9,0.0,-1.9,0.07,-1.97,-0.53,0.0,-1.44,100.0,-103.26,-78.26,25.74,-0.56,0.24,2.01,3.19,2.16,0.11,1.46,-83.13,202403.0,15.24,2.49,1.03,0.96,0.37,3.9,2.52,0.04,2.56,0.0,2.56,0.07,2.49,0.9,1.58,0.0,1.58,64.62,40.51,25.74,0.61,85.21,539391.0___NA__
Acrow India,513149.0,__NA__,Diversified - Medium / Small,760.0,0.0,0.19,,195.0,,409.09,-1.62,1.2,-0.42,0.08,-0.5,0.0,-0.5,-0.7,0.0,0.19,,,,0.64,2.97,-0.11,-0.1,0.0,0.0,0.18,0.28,-128.92,202403.0,,,,,,0.0,-0.08,0.66,0.58,0.08,0.5,0.0,0.5,0.14,0.36,0.0,0.36,,,0.64,5.62,48.64,513149.0___NA__
Action Const.Eq.,532762.0,ACE,Engineering,1461.3,835.84,98.44,36.17,108.78,34.92,108.97,129.68,20.92,150.6,6.71,143.89,10.7,133.19,34.74,0.0,98.45,31.55,15.51,11.78,23.82,8.27,89.18,81.65,673.24,651.61,73.94,67.57,82.53,202403.0,34.96,879.38,117.24,99.29,8.34,753.11,102.74,22.97,125.71,5.89,119.82,5.52,114.3,26.06,88.24,0.0,88.24,13.64,11.72,23.82,7.41,17401.65,532762.0_ACE
Active Clothing,541144.0,__NA__,Textiles - Products,97.65,37.93,1.34,-13.62,243.59,5.92,115.04,4.92,0.01,4.93,2.07,2.86,1.35,1.51,0.17,0.0,1.34,48.56,12.97,3.53,15.51,0.86,6.62,4.03,76.86,44.65,1.81,0.74,56.0,202403.0,7.83,48.14,4.72,1.16,0.75,52.91,5.36,0.07,5.43,1.74,3.69,2.39,1.3,0.33,0.97,0.0,0.97,10.13,1.83,15.51,0.63,151.48,541144.0___NA__
AD Manum Finance,511359.0,__NA__,Finance & Investments,79.39,4.68,4.09,457.14,1414.81,20.02,59.09,3.77,1.67,5.44,0.02,5.42,0.3,5.12,1.04,0.0,4.09,100.0,80.56,87.39,7.5,5.45,2.11,1.37,2.26,1.81,1.36,0.82,35.04,202403.0,182.17,5.11,4.35,3.96,5.28,2.28,2.51,0.18,2.69,0.01,2.68,0.42,2.26,0.82,1.44,0.0,1.44,110.09,63.16,7.5,1.92,59.54,511359.0___NA__
Adani Energy Sol,539254.0,ADANIENSOL,Power Generation And Supply,1002.2,4706.85,361.44,40.18,-7.19,24.94,-16.62,1565.52,203.93,1769.45,467.51,1301.94,749.99,551.95,170.66,0.0,381.29,70.62,33.26,8.1,1115.49,3.24,1350.14,1269.3,3673.87,3663.91,284.09,181.98,23.39,202403.0,25.83,4610.33,1584.2,335.69,2.85,4562.73,1470.64,261.69,1732.33,457.64,1274.69,760.04,514.65,166.4,324.9,0.0,348.25,32.23,7.63,1115.49,2.91,111794.65,539254.0_ADANIENSOL
Adani Enterp.,512599.0,ADANIENT,Trading,3181.55,29180.02,552.58,0.82,-41.62,-24.4,31.75,3195.44,-175.65,3645.71,811.47,2834.24,1512.62,695.7,430.12,-625.92,352.25,45.63,10.95,1.89,114.0,3.95,2430.12,2524.0,22517.33,25438.45,333.34,676.93,29.02,202403.0,-19.63,20443.95,2193.86,68.55,0.6,25050.23,3225.86,491.07,3715.98,759.86,2956.12,596.56,2360.51,442.84,1887.54,0.95,1972.75,12.88,7.87,114.0,16.57,362697.06,512599.0_ADANIENT
Adani Green,541450.0,ADANIGREEN,Power Generation And Supply,1780.8,2527.0,171.3,-2.73,-70.67,18.57,11.56,1851.0,199.0,2130.0,497.0,1633.0,1206.0,347.0,82.0,-80.0,310.0,100.0,73.25,14.01,1584.0,0.95,1699.0,2081.0,2220.0,2162.0,371.0,323.0,47.24,202403.0,20.8,2611.71,2222.7,475.35,1.45,2311.0,1666.0,264.0,2030.0,481.0,1549.0,1242.0,207.0,68.0,323.15,-100.0,256.0,72.09,13.98,1584.0,1.62,282084.52,541450.0_ADANIGREEN
Adani Ports,532921.0,ADANIPORTS,Miscellaneous,1484.1,6896.5,2336.4,18.97,2.53,28.1,40.94,3994.6,-70.26,4298.04,979.09,3318.95,604.27,2340.98,326.21,-373.7,2014.77,100.0,57.92,33.88,432.03,9.44,3663.98,3689.33,6646.41,6247.55,1761.63,2119.38,42.41,202403.0,28.8,8047.14,4705.39,2738.2,12.68,6920.1,4195.68,506.85,4702.53,985.32,3717.21,975.88,2741.33,533.12,2208.21,0.0,2208.21,60.63,31.91,432.03,10.22,320586.21,532921.0_ADANIPORTS
Adani Power,533096.0,ADANIPOWER,Power Generation And Supply,719.55,13363.69,2737.24,30.48,-47.79,29.86,93.52,4849.74,517.83,5367.57,990.03,4377.54,819.6,3557.94,820.7,0.0,2737.24,44.03,36.29,20.48,3856.94,7.1,5171.39,3514.23,12990.58,11005.54,6594.17,8759.42,80.54,202403.0,42.91,15728.31,5443.32,3390.1,8.79,12991.44,4645.34,363.83,5009.17,1002.23,4006.94,796.56,3210.38,472.42,2737.96,0.0,2737.96,35.76,21.08,3856.94,7.1,277526.03,533096.0_ADANIPOWER
Adani Total Gas,542066.0,ATGL,Miscellaneous,888.9,1166.95,167.96,4.68,71.55,2.21,22.17,288.02,19.24,307.26,48.91,258.35,29.08,229.27,61.31,0.0,167.96,39.5,24.68,14.39,109.98,1.53,279.93,247.74,1095.59,1056.06,172.68,150.22,26.88,202403.0,2.28,1080.1,261.96,194.41,1.77,1156.14,288.03,17.79,305.82,38.6,267.22,31.4,235.82,59.18,176.64,0.0,176.64,24.91,15.28,109.98,1.61,97762.13,542066.0_ATGL
Adani Wilmar,543458.0,AWL,Solvent Extraction,333.5,13238.04,156.75,-4.57,67.45,-11.9,-72.93,357.0,104.22,461.22,79.2,382.02,171.13,210.89,56.33,0.0,156.75,13.48,2.7,1.18,129.97,1.21,143.67,130.4,12267.15,12928.08,-130.73,-78.92,18.06,202403.0,-11.67,11419.08,206.0,-46.27,-0.36,12828.36,504.19,59.24,563.43,95.4,468.03,187.08,280.95,74.92,200.89,0.0,200.89,3.93,1.57,129.97,1.55,43344.27,543458.0_AWL
Adarsh Plant,526711.0,__NA__,Packaging,35.98,5.46,0.23,31.25,283.33,8.43,250.0,0.3,0.0,0.3,0.02,0.28,0.05,0.23,0.0,0.0,0.23,23.44,5.49,4.21,9.91,0.23,0.11,0.13,3.9,3.83,0.02,0.08,90.0,202403.0,21.43,4.65,0.17,0.1,0.1,5.45,0.21,0.0,0.21,0.02,0.19,0.04,0.15,0.0,0.16,0.0,0.16,3.85,2.94,9.91,0.16,35.65,526711.0___NA__
ADC India,523411.0,__NA__,Telecommunications - Equipment,2100.0,44.11,6.94,27.78,926.19,25.07,153.24,8.72,0.73,9.45,0.05,9.4,0.02,9.38,2.43,0.0,6.94,27.91,19.77,15.73,4.6,15.09,9.63,-0.38,48.31,44.24,7.45,-0.09,154.24,202403.0,25.8,55.65,5.22,5.13,11.15,42.07,8.08,0.5,8.58,0.05,8.53,0.0,8.53,2.15,6.38,0.0,6.38,19.21,15.17,4.6,13.87,966.0,523411.0___NA__
Adcon Capital,539506.0,__NA__,Finance & Investments,0.86,0.36,0.22,9.09,152.38,200.0,232.35,0.14,0.0,0.14,0.0,0.14,0.0,0.14,-0.08,0.0,0.22,100.0,38.89,61.11,31.7,0.01,0.33,0.39,0.42,0.47,0.24,0.29,256.72,202403.0,484.4,2.75,1.88,1.88,0.09,0.41,0.18,0.0,0.18,0.0,0.18,0.0,0.18,0.05,0.13,0.0,0.13,43.9,31.71,30.18,0.0,17.05,539506.0___NA__
Add-Shop E-Reta.,541865.0,__NA__,Trading,15.89,58.38,-6.99,24.5,-384.15,2.9,-83.6,-9.6,0.0,-9.6,0.1,-9.7,0.28,-9.98,-2.99,0.0,-6.99,-4.95,-16.44,-11.97,28.31,-2.47,3.51,7.41,40.37,47.32,2.35,5.27,-73.99,202403.0,4.2,49.31,3.86,3.45,1.22,56.99,4.42,0.0,4.42,0.14,4.28,0.28,4.0,1.47,2.52,0.0,2.52,7.76,4.42,28.31,0.89,44.99,541865.0___NA__
Addi Industries,507852.0,__NA__,Textiles - Products,50.07,0.0,2.21,,190.79,,97.05,-0.27,3.41,3.14,0.03,3.11,0.0,3.11,0.9,0.0,2.21,,,,5.4,2.05,-0.21,-0.19,0.0,0.0,0.85,0.8,-6.82,202403.0,,,,,,0.0,-0.27,1.39,1.12,0.04,1.08,0.01,1.07,0.25,0.82,0.0,0.82,,,5.4,0.76,54.06,507852.0___NA__
Addictive Learn,-1.0,LAWSIKHO,Miscellaneous,308.0,32.98,,,,90.75,164.37,6.87,,,,,,,,,2.79,,,,,1.75,,,,,,,146.76,202403.0,,,,,,30.97,5.68,,,,,,,,,,3.74,,,,7.48,490.02,-1.0_LAWSIKHO
Adeshwar Meditex,543309.0,__NA__,Healthcare,27.0,33.59,,,,-3.05,-2.9,2.98,,,,,,,,,1.28,,,,,0.89,,,,,,,0.0,202403.0,,,,,,46.26,2.21,,,,,,,,,,0.73,,,,0.51,38.96,543309.0___NA__
ADF Foods,519183.0,ADFFOODS,Food - Processing - Indian,242.3,153.63,25.04,24.79,55.62,15.56,37.75,34.29,1.78,36.07,4.36,31.71,0.64,31.07,6.03,0.0,25.04,56.75,22.32,16.3,21.97,2.35,21.77,21.93,124.62,112.42,14.93,14.73,29.82,202403.0,16.01,130.42,25.89,21.27,1.94,129.65,26.95,3.79,30.74,3.96,26.78,0.62,26.16,7.06,19.09,0.0,19.09,20.79,14.72,22.35,1.76,2661.99,519183.0_ADFFOODS
Adhbhut Infra.,539189.0,__NA__,Construction,29.07,0.4,0.07,-69.7,-82.05,20.75,-21.62,0.29,0.22,0.51,0.26,0.25,0.06,0.19,0.12,0.0,0.07,100.0,72.5,17.5,11.0,0.06,0.55,1.11,0.6,1.32,0.17,0.61,104.81,202403.0,200.89,3.97,3.23,0.81,0.74,0.24,0.17,0.01,0.18,0.26,-0.08,0.06,-0.14,-0.17,0.03,0.0,0.03,70.83,12.5,11.0,0.03,31.98,539189.0___NA__
Adinath Exim Res,532056.0,__NA__,Finance & Investments,23.88,0.26,0.15,4.0,-57.14,3.0,-17.65,0.19,0.0,0.19,0.0,0.19,0.0,0.19,0.05,0.0,0.15,100.0,73.08,57.69,4.32,0.35,0.19,0.18,0.26,0.26,0.15,0.14,8.82,202403.0,3.19,0.27,0.19,0.19,0.44,0.25,0.17,0.0,0.17,0.0,0.17,0.0,0.17,0.04,0.13,0.0,0.13,68.0,52.0,4.77,0.3,10.31,532056.0___NA__
Adinath Textiles,514113.0,__NA__,Textiles - Spinning - Synthetic / Blended,25.91,0.0,0.15,,-44.44,,-26.15,-0.27,0.55,0.28,0.02,0.26,0.04,0.22,0.07,0.0,0.15,,,,6.81,0.22,-0.29,-0.3,0.0,0.0,0.04,0.12,-5.5,202403.0,,,,,,0.0,-0.29,0.5,0.21,0.02,0.19,0.0,0.19,0.02,0.17,0.0,0.17,,,6.99,0.25,17.65,514113.0___NA__
Adit.Birla Money,532974.0,BIRLAMONEY,Finance & Investments,164.55,114.06,16.46,73.05,123.34,46.27,55.89,49.4,1.78,51.18,2.15,49.03,28.61,20.42,3.95,0.0,16.46,100.0,43.31,14.43,5.65,2.91,38.89,32.47,96.37,78.45,11.92,9.44,78.68,202403.0,50.27,117.89,49.32,18.15,3.21,101.31,43.77,0.92,44.69,2.11,42.58,23.93,18.65,3.5,15.15,0.0,15.15,43.2,14.95,5.65,2.68,929.85,532974.0_BIRLAMONEY
Aditya AMC,543374.0,ABSLAMC,Finance & Investments,649.35,365.57,208.38,23.1,53.71,0.3,30.87,204.86,74.45,279.31,10.05,269.26,1.69,267.57,59.19,0.0,208.38,100.0,56.04,57.0,144.05,7.23,191.92,169.95,334.99,311.16,178.09,184.57,-8.06,202403.0,10.85,344.91,192.05,181.17,6.29,341.46,194.27,79.5,273.77,8.79,264.98,1.47,263.51,54.17,209.34,0.0,209.34,56.89,61.31,144.04,7.27,18707.74,543374.0_ABSLAMC
Aditya Bir. Fas.,535755.0,ABFRL,Textiles - Products,317.3,3406.65,-229.57,18.3,-22.8,12.71,-913.63,283.68,93.08,376.76,455.39,-78.63,235.51,-314.14,-47.79,0.0,-266.35,55.83,8.33,-7.82,1015.01,-2.26,322.87,292.33,3226.44,3196.06,-200.34,-161.62,-6.73,202403.0,12.94,3609.58,355.26,-309.25,-2.62,4166.71,553.27,51.31,604.58,444.06,160.52,245.43,-84.91,22.69,-77.87,0.0,-107.6,13.28,-2.58,949.17,-0.82,32240.91,535755.0_ABFRL
Aditya Birla Cap,540691.0,ABCAPITAL,Finance & Investments,238.8,10939.96,1245.41,36.32,104.62,14.4,-30.46,3621.04,166.37,3787.41,53.5,3733.91,2121.77,1612.14,324.03,0.0,1288.11,100.0,33.1,11.77,2600.02,4.79,2821.92,2555.1,7720.55,7044.97,724.78,665.7,18.09,202403.0,26.61,8919.6,3165.86,990.67,3.68,8800.06,3036.42,60.34,3096.76,49.57,3047.19,1997.42,1049.77,289.47,735.76,0.0,760.3,34.5,8.64,2598.82,2.83,62137.63,540691.0_ABCAPITAL
Aditya Consumer,540146.0,__NA__,Trading,83.5,47.01,0.94,1.3,-59.48,-3.61,-469.88,-1.71,-0.05,2.91,1.27,1.64,0.4,1.24,0.3,0.0,-3.23,30.19,6.44,2.04,14.63,-2.21,0.81,,50.89,,0.28,,-119.58,202403.0,,,,,,46.35,0.97,,,,,,,,,,0.16,,,,0.11,122.19,540146.0___NA__
Aditya Ispat,513513.0,__NA__,Steel - Medium / Small,10.5,18.84,-2.33,-2.53,-1470.59,16.28,-925.0,-2.26,0.61,-1.65,0.37,-2.02,0.68,-2.7,-0.36,0.0,-2.33,-8.07,-12.0,-12.37,5.35,-4.36,1.11,1.16,17.95,13.35,0.01,0.01,-74.33,202403.0,25.15,16.71,0.83,,,11.87,1.12,0.02,1.14,0.38,0.76,0.76,0.0,0.0,0.0,0.0,0.0,9.44,0.0,5.35,0.0,5.61,513513.0___NA__
Aditya Spinners,521141.0,__NA__,Textiles - Spinning - Synthetic / Blended,20.2,12.91,1.49,-17.51,207.97,-11.08,-15.84,1.06,1.4,2.46,0.52,1.94,0.4,1.54,0.06,0.0,1.49,56.0,8.21,11.54,16.74,0.89,0.84,1.4,15.65,16.21,-0.01,0.31,-38.49,202403.0,-10.65,14.48,1.12,0.1,0.06,16.49,1.11,0.01,1.12,0.69,0.43,0.37,0.06,0.0,0.06,0.0,0.06,6.73,0.36,16.74,0.04,33.82,521141.0___NA__
Aditya Vision,540205.0,__NA__,Trading,4514.95,375.67,7.85,22.66,15.78,31.84,20.27,37.63,1.79,39.42,7.46,31.96,15.94,16.02,8.17,0.0,7.85,17.5,10.02,2.09,12.81,6.12,23.06,63.3,313.13,641.23,9.63,37.42,25.94,202403.0,32.71,850.96,81.58,50.43,39.19,413.26,43.49,0.89,44.38,8.04,36.34,7.35,28.99,6.82,22.17,0.0,22.17,10.52,5.36,12.03,18.43,5809.05,540205.0___NA__
Adjia Tech,543269.0,__NA__,Computers - Software - Medium / Small,45.49,0.22,,,,120.0,177.78,0.2,,,,,,,,,0.1,,,,,1.14,,,,,,,170.0,202403.0,,,,,,0.11,0.07,,,,,,,,,,-0.03,,,,-0.34,4.0,543269.0___NA__
Adline Chem Lab,524604.0,__NA__,Pharmaceuticals - Indian - Formulations,13.12,0.0,-0.04,,-300.0,,-225.0,-0.07,0.03,-0.04,0.0,-0.04,0.0,-0.04,0.0,0.0,-0.04,,,,5.85,-0.07,-0.03,-0.08,0.0,0.0,-0.03,-0.08,77.5,202403.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.85,0.0,7.68,524604.0___NA__
