Name,BSE Code,NSE Code,Industry,Current Price,Number of equity shares 10years back,Average return on equity 5Years,Average return on equity 3Years,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization,join_key
ACE EduTremd Ltd,530093.0,__NA__,Miscellaneous,3.2,0.92,-3.53,-2.94,10.44,10.8,14.26,,,,,0.0,0.0,0.0,-2.32,-2.78,-3.3,-4.13,-4.35,-4.44,10.14,,,3631.0,0.0,0.0,16637.92,3457.55,-2.4,-2.02,,6.54,,,1.21,1.82,1.91,30.14,0.0,0.0,0.0,2.93,530093.0___NA__
Ace Engitech,530669.0,__NA__,Computers - Software - Medium / Small,21.56,0.33,-21.94,-12.32,1.76,2.69,,,,,,0.0,0.0,0.0,-11.73,-20.64,-26.34,-18.84,-16.4,-30.55,7.57,-122.03,-212.26,3081.0,0.0,399.6,60.83,0.0,-17.19,-7.53,498.5,498.5,498.5,498.5,1.09,1.6,,,-192.97,0.0,0.0,7.12,530669.0___NA__
Ace Integrated,-1.0,ACEINTEG,Computers - Software - Medium / Small,34.19,,3.47,3.51,16.58,16.44,,,,,,0.0,0.0,0.0,4.68,4.8,6.37,12.9,6.88,4.41,-1.07,10.05,12.82,852.0,0.0,247.04,366.65,294.17,2.91,3.02,47.63,33.65,33.65,44.25,9.82,24.31,,,434.09,0.0,0.0,34.87,-1.0_ACEINTEG
Ace Men,539661.0,__NA__,Trading,45.99,0.31,4.89,5.87,10.42,9.62,,,,2.0,,0.0,,0.0,7.88,6.52,4.28,4.15,2.63,3.35,,7.21,4.81,1561.0,0.0,0.0,0.0,,3.42,3.8,23.48,36.55,34.21,34.21,10.84,6.34,5.34,,-217.7,0.0,0.0,14.24,539661.0___NA__
Ace Soft. Exp.,531525.0,__NA__,Computers - Software - Medium / Small,243.75,0.47,1.57,6.65,42.01,41.3,38.4,0.22,0.02,0.22,-0.6,0.0,0.0,0.0,5.79,0.08,0.34,1.59,2.05,1.27,50.28,-5.68,-2.28,3634.0,0.0,6.81,0.41,4.56,-0.72,4.38,31.6,11.33,11.7,31.31,5.85,11.3,8.99,3.49,161.3,0.0,0.0,156.0,531525.0___NA__
Achyut Healthcar,543499.0,__NA__,Trading,56.7,,2.74,2.71,,,,4.6,,,,0.0,100.0,0.0,3.29,4.79,4.79,4.79,,,,-1.93,,158.0,0.0,23.53,378.52,54.48,2.56,2.1,234.21,234.21,234.21,234.21,,,,,804.63,,,95.4,543499.0___NA__
ACI Infocom,517356.0,__NA__,Computers - Software - Medium / Small,2.44,11.05,0.46,0.46,1.51,1.49,1.46,0.0,0.89,1.03,0.19,0.0,0.0,0.0,0.73,0.72,0.91,1.03,0.53,0.47,54.55,-42.6,-10.22,43843.0,0.0,17.38,365.0,307.37,0.44,0.45,78.5,110.75,80.0,71.5,3.2,3.31,76.46,65.52,7782.18,0.0,0.0,26.96,517356.0___NA__
Acknit Indus.,530043.0,__NA__,Textiles - Products,312.0,0.25,11.85,12.56,178.36,160.23,107.54,2.2,1.97,2.51,3.27,0.0,0.0,0.46,11.88,11.56,11.37,11.26,11.21,11.34,1.04,7.54,6.57,2217.0,5.38,50.48,51.07,64.84,5.29,5.98,5.63,6.22,5.79,5.3,27.79,27.51,24.92,8.54,139.89,-0.44,0.0,94.84,530043.0___NA__
Acme Resources,539391.0,__NA__,Finance & Investments,33.1,2.57,0.52,4.69,42.92,48.38,,0.05,0.06,0.1,0.08,0.0,0.0,0.0,6.47,1.53,0.8,3.73,1.38,-1.08,16.69,14.28,32.84,3189.0,0.0,0.0,0.0,0.43,0.45,4.27,9.38,6.51,6.0,7.57,50.84,30.89,31.95,,730.09,0.0,0.0,85.21,539391.0___NA__
Acrow India,513149.0,__NA__,Diversified - Medium / Small,760.0,0.06,-0.65,-0.21,333.91,336.09,151.41,0.0,0.0,0.0,0.18,,,0.0,-0.98,-1.24,-0.99,-1.85,-0.44,-0.52,32.3,,,1367.0,0.0,0.0,,,-0.7,-0.28,80.08,48.93,77.4,77.84,7.65,8.0,10.5,2.44,0.0,0.0,0.0,48.64,513149.0___NA__
Action Const.Eq.,532762.0,ACE,Engineering,1461.85,9.89,20.66,23.14,46.11,39.0,29.47,3.21,3.31,6.0,2.88,0.0,0.0,8.46,29.97,25.36,23.71,18.28,16.56,19.45,17.57,10.85,9.36,85319.0,5.79,30.49,66.83,39.18,10.11,12.45,28.34,42.59,27.53,26.69,1751.61,1344.52,701.0,141.98,17.87,5.12,0.2,17408.22,532762.0_ACE
Active Clothing,541144.0,__NA__,Textiles - Products,100.89,0.02,2.72,3.98,39.69,39.65,,0.76,1.57,1.73,,0.0,0.0,0.0,7.57,7.12,7.67,8.04,,3.36,6.98,8.98,9.93,448.0,0.0,112.93,148.52,93.32,0.96,1.4,43.05,34.51,34.51,40.46,24.82,48.09,,,191.71,0.0,0.0,156.5,541144.0___NA__
AD Manum Finance,511359.0,__NA__,Finance & Investments,79.4,0.75,8.05,8.23,72.44,65.87,59.27,,,,,0.0,0.0,0.0,10.44,9.44,9.07,8.65,4.87,6.05,41.55,69.37,56.55,1182.0,0.0,57.16,32.19,2235.76,6.0,6.95,9.01,11.02,8.58,7.9,12.2,16.12,20.21,19.88,86.77,0.0,0.0,59.55,511359.0___NA__
Adani Energy Sol,539254.0,ADANIENSOL,Power Generation And Supply,1003.6,109.0,11.01,10.82,81.1,77.28,,7.45,8.15,0.0,0.0,0.0,0.0,0.0,9.88,10.19,11.07,10.42,11.95,11.7,1.6,36.01,40.69,322851.0,0.0,36.2,37.27,36.08,2.46,2.4,112.3,45.81,64.89,89.88,99906.75,23909.87,7055.28,,-3.14,-3.33,1.27,111950.81,539254.0_ADANIENSOL
Adani Enterp.,512599.0,ADANIENT,Trading,3177.95,109.98,7.64,8.33,156.02,154.09,233.93,14.01,13.26,15.02,10.7,0.0,0.0,122.99,8.68,8.58,8.01,7.54,6.98,7.04,19.67,7.63,8.3,746605.0,8.1,48.36,110.62,129.33,2.0,1.87,130.95,22.16,72.87,104.56,113405.88,16139.57,7976.85,14461.27,-10.62,-5.24,3.63,362286.66,512599.0_ADANIENT
Adani Green,541450.0,ADANIGREEN,Power Generation And Supply,1781.0,,16.37,19.16,14.07,15.06,,1.44,0.18,0.0,,0.0,0.0,0.0,8.41,8.6,7.37,7.37,,11.5,20.97,70.11,,746294.0,0.0,95.1,174.56,134.42,1.32,1.55,457.98,577.92,577.92,577.92,172800.12,5810.31,,,40.61,-2.17,1.25,282116.21,541450.0_ADANIGREEN
Adani Ports,532921.0,ADANIPORTS,Miscellaneous,1483.0,207.01,16.07,15.82,149.83,125.3,52.0,1.19,1.4,0.93,1.77,0.0,0.0,1019.68,11.14,11.77,12.75,13.07,17.64,16.56,0.22,56.9,58.89,1098596.0,19.31,57.71,85.09,93.2,6.76,6.64,27.92,22.99,23.35,26.89,142710.25,78313.04,70329.52,38803.12,26.26,-0.74,-3.0,320348.59,532921.0_ADANIPORTS
Adani Power,533096.0,ADANIPOWER,Power Generation And Supply,718.5,287.19,39.21,47.81,34.0,16.8,19.93,6.5,9.38,9.52,7.99,0.0,0.0,3.09,21.39,16.57,13.99,12.22,26.13,33.69,35.48,31.04,29.43,1790675.0,0.02,106.37,164.8,130.68,8.47,14.14,11.17,15.5,14.91,14.91,32803.27,18590.45,15389.19,13957.54,81.91,4.37,-4.12,277121.05,533096.0_ADANIPOWER
Adani Total Gas,542066.0,ATGL,Miscellaneous,888.85,,23.66,21.23,17.58,13.37,,17.08,25.69,,,0.0,0.0,27.5,22.28,26.51,26.09,26.09,,,-1.98,26.17,,301530.0,4.85,27.39,22.32,17.58,14.17,11.71,223.32,152.64,152.64,170.2,105719.25,14154.56,,,-53.55,-5.59,2.77,97756.62,542066.0_ATGL
Adani Wilmar,543458.0,AWL,Solvent Extraction,333.85,,10.19,7.16,,,,7.42,6.31,,,0.0,9.87,0.0,14.64,18.28,18.28,18.28,,,,2.81,,1132258.0,0.0,13.25,14.91,15.95,3.58,2.73,104.18,104.18,104.18,104.18,,,,,9.09,,,43389.78,543458.0_AWL
Adarsh Plant,526711.0,__NA__,Packaging,35.8,0.99,23.97,25.26,0.73,0.51,2.6,3.34,3.31,3.05,3.14,0.0,0.0,0.0,7.15,6.22,1.74,2.56,-11.95,-17.14,19.21,2.69,1.58,5189.0,0.0,70.16,112.71,111.55,2.33,2.92,81.14,88.14,85.87,85.87,5.95,4.03,8.17,8.89,109.21,0.0,0.0,35.47,526711.0___NA__
ADC India,523411.0,__NA__,Telecommunications - Equipment,2090.0,0.46,18.64,23.47,93.2,87.33,79.59,4.84,7.9,6.78,5.8,0.0,0.0,2.53,30.49,23.49,21.55,19.83,15.13,16.52,19.51,9.75,8.39,4450.0,36.53,56.3,108.9,63.56,11.63,15.12,26.91,24.66,24.76,24.6,95.31,104.42,119.88,58.05,36.71,0.0,-0.01,961.4,523411.0___NA__
Adcon Capital,539506.0,__NA__,Finance & Investments,0.86,33.1,1.29,1.2,0.11,0.11,,,,,,0.0,0.0,0.0,4.13,3.38,3.29,2.22,1.22,1.45,10.58,29.97,28.18,20023.0,0.0,191.54,13.04,0.0,2.66,3.13,105.0,112.5,112.5,105.0,83.74,133.06,161.86,,2595.27,0.0,0.0,17.05,539506.0___NA__
Add-Shop E-Reta.,541865.0,__NA__,Trading,15.59,,21.03,19.65,5.26,3.3,,7.44,3.92,6.02,,0.0,0.0,0.0,37.84,34.93,31.37,34.68,,20.95,-27.7,11.28,,46889.0,0.0,133.33,147.82,106.17,17.22,20.48,9.01,13.39,13.39,14.24,100.05,26.7,,,154.6,0.0,0.0,44.14,541865.0___NA__
Addi Industries,507852.0,__NA__,Textiles - Products,50.07,1.08,3.06,3.5,18.19,17.13,18.14,,,,2.82,,0.0,0.0,3.68,0.96,0.35,1.59,,,31.73,,,4047.0,0.0,0.0,,0.0,1.74,2.66,17.49,17.4,18.56,17.72,4.85,8.64,7.56,2.38,0.0,0.0,0.0,54.06,507852.0___NA__
Addictive Learn,-1.0,LAWSIKHO,Miscellaneous,307.3,,,,,,,,,,,0.0,0.0,0.0,496.74,496.74,496.74,496.74,,,,14.71,,,0.0,0.17,0.54,,,20.27,0.12,0.12,0.12,0.12,,,,,-4.6,,,488.91,-1.0_LAWSIKHO
Adeshwar Meditex,543309.0,__NA__,Healthcare,27.0,,6.87,5.37,,,,2.69,3.17,,,0.0,0.0,0.0,8.82,10.39,11.61,11.61,,,-16.9,6.86,,164.0,0.0,144.84,150.82,134.63,2.92,2.38,20.48,20.48,20.48,20.48,,,,,189.36,0.0,0.0,38.96,543309.0___NA__
ADF Foods,519183.0,ADFFOODS,Food - Processing - Indian,242.2,11.0,17.62,15.9,25.56,20.42,13.91,3.01,2.96,3.97,3.92,0.0,0.0,17.81,19.58,22.98,22.38,18.38,14.58,16.73,2.94,18.27,15.52,26383.0,37.85,71.32,64.07,69.25,14.47,12.25,33.03,30.71,31.58,32.09,1788.89,479.78,367.5,98.67,135.18,-0.45,6.99,2660.89,519183.0_ADFFOODS
Adhbhut Infra.,539189.0,__NA__,Construction,29.07,,,,5.21,5.46,,,,,,0.0,0.0,0.0,43.95,21.71,14.39,10.21,,,,30.73,31.95,493.0,0.0,267.38,417.14,2068.33,0.42,1.07,39.47,39.84,39.47,39.47,214.61,132.39,58.91,,149.12,0.0,0.0,31.98,539189.0___NA__
Adinath Exim Res,532056.0,__NA__,Finance & Investments,23.88,0.41,2.94,3.13,35.26,31.86,17.74,,,,,0.0,0.0,0.0,4.29,4.0,4.1,3.58,2.91,3.06,3.4,73.25,62.1,3382.0,0.0,0.0,0.0,0.0,2.85,3.04,17.79,17.26,15.92,14.29,2.46,3.4,7.63,5.04,51.41,0.0,0.0,10.31,532056.0___NA__
Adinath Textiles,514113.0,__NA__,Textiles - Spinning - Synthetic / Blended,25.92,0.68,17.44,20.67,2.26,1.78,1.6,20.0,12.67,20.5,6.5,,0.0,0.0,22.32,17.05,7.16,10.71,11.07,7.23,20.93,,,26740.0,0.0,0.0,,172.64,8.68,11.96,32.77,25.48,31.41,31.64,2.13,1.67,3.44,1.43,0.0,0.0,0.0,17.66,514113.0___NA__
Adit.Birla Money,532974.0,BIRLAMONEY,Finance & Investments,165.5,5.54,39.67,39.15,8.5,5.55,4.69,0.01,0.03,0.02,,0.0,0.0,0.0,11.11,11.78,12.0,11.92,36.13,40.19,-8.82,34.12,27.75,42860.0,0.0,50.92,291.99,239.74,2.44,2.69,13.26,19.5,17.08,15.75,231.12,265.46,175.34,73.68,-446.25,0.03,0.0,935.23,532974.0_BIRLAMONEY
Aditya AMC,543374.0,ABSLAMC,Finance & Investments,647.45,,30.92,28.66,,,,,,,,0.0,0.0,297.66,37.61,41.48,44.08,44.08,,31.82,-6.25,60.49,,431871.0,49.45,8.14,9.4,6.66,27.98,26.03,18.59,18.59,18.59,18.59,,,,,-6.74,,,18652.99,543374.0_ABSLAMC
Aditya Bir. Fas.,535755.0,ABFRL,Textiles - Products,318.45,,-13.76,-9.25,31.19,12.35,,1.26,2.04,,,0.0,1.72,0.0,2.87,2.57,2.57,2.57,,,,12.33,,257409.0,0.0,31.11,42.28,35.11,-3.05,-1.95,96.71,84.95,84.95,84.95,17058.38,18763.91,13051.0,843.51,31.51,5.59,-1.79,32357.76,535755.0_ABFRL
Aditya Birla Cap,540691.0,ABCAPITAL,Finance & Investments,240.25,75.7,14.66,17.46,56.9,52.1,,,,,,0.0,0.0,0.0,9.78,9.18,9.08,9.32,,13.7,9.5,31.6,34.44,475283.0,0.0,7.72,8.45,9.01,1.53,1.97,17.9,21.25,21.25,18.61,28814.27,21397.65,,,-814.2,8.17,-4.43,62514.92,540691.0_ABCAPITAL
Aditya Consumer,540146.0,__NA__,Trading,85.97,0.0,0.05,-2.58,17.94,17.9,,6.35,5.44,5.12,6.13,0.0,0.0,0.0,0.5,2.37,6.72,7.91,4.48,3.79,,2.8,4.17,242.0,0.0,1.18,1.17,2.17,0.29,-1.45,138.13,106.14,121.05,108.86,25.61,108.29,46.02,,38.48,0.0,0.0,125.8,540146.0___NA__
Aditya Ispat,513513.0,__NA__,Steel - Medium / Small,10.5,0.54,-2.0,-5.4,18.8,18.02,14.5,9.8,5.21,4.64,5.78,0.0,0.0,0.0,4.52,4.97,5.77,6.47,1.07,-0.12,,5.46,5.68,7857.0,0.0,119.98,88.11,97.4,-0.32,-1.12,11.35,8.95,9.68,10.52,2.62,3.58,2.41,1.52,150.2,0.0,0.0,5.61,513513.0___NA__
Aditya Spinners,521141.0,__NA__,Textiles - Spinning - Synthetic / Blended,20.2,1.67,7.73,6.57,15.57,16.34,,4.42,9.19,8.02,10.33,0.0,0.0,0.0,8.5,7.09,7.17,7.57,6.85,6.97,-8.45,8.89,7.8,45944.0,0.0,14.15,32.12,26.2,4.72,4.11,8.32,7.71,7.5,6.96,10.06,6.36,14.9,,39.62,0.0,0.0,33.82,521141.0___NA__
Aditya Vision,540205.0,__NA__,Trading,4500.0,0.0,37.65,36.52,41.09,27.87,,3.46,5.57,10.02,8.7,0.0,0.0,7.46,23.05,29.55,26.29,22.2,35.26,36.41,0.05,8.39,6.8,6596.0,16.5,0.09,0.18,0.19,9.0,10.45,28.51,29.09,30.1,27.09,219.1,74.22,25.47,,80.04,9.42,7.49,5789.82,540205.0___NA__
Adjia Tech,543269.0,__NA__,Computers - Software - Medium / Small,45.49,,,-2.86,27.15,,,,,,,0.0,0.0,0.0,-2.53,8.91,8.91,8.91,,,,25.84,,135.0,0.0,270.12,149.32,,19.43,-2.64,7.3,8.41,8.41,8.41,3.61,,,,1599.86,0.0,0.0,4.0,543269.0___NA__
Adline Chem Lab,524604.0,__NA__,Pharmaceuticals - Indian - Formulations,13.12,0.58,,,3.3,5.49,,4.14,2.29,2.23,4.47,0.0,0.0,0.0,-2.53,-17.31,-11.11,-6.49,,,,,,18670.0,0.0,34.53,91.11,135.81,-64.46,-91.96,38.74,75.67,50.48,38.74,2.98,4.09,9.65,,-113.45,0.0,0.0,7.68,524604.0___NA__
Ador Fontech,530431.0,__NA__,Electrodes - Welding Equipment,144.1,3.5,14.06,16.82,31.13,28.19,25.08,2.87,3.89,3.7,3.1,0.0,0.0,14.0,23.6,19.91,18.01,17.69,12.28,12.71,11.76,12.02,10.99,13248.0,90.05,52.01,67.23,46.21,10.72,13.44,16.96,17.11,17.36,16.83,129.5,178.67,147.63,119.17,68.62,-4.67,-2.3,504.36,530431.0___NA__
Ador Multi Prod.,523120.0,__NA__,Personal Care - Indian,34.45,,-36.68,-40.99,28.8,19.75,,2.94,2.88,4.52,,0.0,0.0,0.0,-48.44,-37.88,-32.43,-30.84,,-35.29,0.62,-37.03,,3919.0,0.0,31.21,35.48,65.68,-26.55,-34.2,22.76,14.36,16.46,18.17,40.4,12.87,5.57,3.01,53.17,0.0,0.0,16.1,523120.0___NA__
Ador Welding,517041.0,ADORWELD,Electrodes - Welding Equipment,1405.85,1.36,14.4,17.82,174.6,183.03,150.02,5.36,6.67,6.62,5.87,0.0,6.69,14.96,23.58,17.82,16.34,15.37,11.85,12.86,14.52,9.2,8.8,19306.0,39.24,57.45,85.95,60.23,9.36,12.39,27.76,24.17,26.18,26.59,408.91,467.72,423.93,196.84,71.8,0.1,-4.11,1911.96,517041.0_ADORWELD
Adroit Info.,532172.0,ADROITINFO,Computers - Software - Medium / Small,18.42,4.37,12.36,15.91,1.26,1.26,3.86,,,,0.86,0.0,0.0,0.0,15.08,13.01,12.85,16.94,16.57,11.95,44.39,21.52,23.34,13555.0,0.0,173.58,248.65,323.41,7.25,8.89,25.8,22.25,18.69,22.06,28.06,55.3,202.86,17.96,127.01,0.0,0.0,39.92,532172.0_ADROITINFO
Advait Infratech,543230.0,__NA__,Construction,1700.0,,23.16,27.2,29.65,,,8.36,8.49,,,0.0,0.0,0.32,30.07,23.32,23.32,23.32,,,,14.45,,508.0,3.2,125.75,113.09,184.84,7.62,9.82,49.8,47.07,47.07,47.07,26.47,,,,37.07,0.0,0.0,1735.31,543230.0___NA__
Advance Lifes.,521048.0,__NA__,Textiles - Jute - Yarn / Products,45.99,0.62,-2.01,1.92,48.27,48.89,48.66,0.0,0.0,0.0,0.0,,,0.0,1.34,-0.48,0.79,1.59,-1.69,-2.97,17.46,,,6946.0,0.0,0.0,-36500.0,,-0.74,0.76,76.46,20.2,23.02,76.46,11.9,11.9,5.42,3.24,-23651.92,0.0,-0.01,28.63,521048.0___NA__
Advance Meter.,534612.0,__NA__,Electric Equipment,38.49,1.61,-7.5,-3.85,61.38,66.57,89.07,0.38,1.23,3.66,1.56,0.0,0.0,0.0,-2.08,-2.32,-1.19,-1.7,-6.45,-5.95,,-23.33,-7.17,10264.0,0.0,138.51,272.88,87.09,-4.18,-2.81,,57.08,57.08,57.08,14.19,45.36,39.9,28.98,385.66,0.0,0.0,61.81,534612.0___NA__
Advance Petroch.,506947.0,__NA__,Chemicals,288.0,0.09,13.93,16.48,25.33,22.22,17.56,2.09,1.8,1.98,3.7,0.0,0.0,0.0,14.37,12.97,12.22,11.78,10.36,12.04,0.65,6.23,6.38,2060.0,0.0,64.47,53.16,41.83,2.5,3.2,28.18,28.5,28.5,28.5,3.46,3.51,2.03,2.32,59.57,0.0,0.0,25.92,506947.0___NA__
Advance Syntex,539982.0,__NA__,Textiles - Spinning - Synthetic / Blended,7.3,0.45,-11.25,-19.15,16.3,18.9,,1.37,2.3,3.54,3.95,0.0,0.0,0.0,-3.88,0.38,5.32,9.36,-1.29,-4.4,,4.15,9.79,866.0,0.0,2440.7,208.27,134.29,-3.1,-4.41,,13.2,12.48,9.55,11.56,25.41,19.75,,5828.04,0.0,0.0,8.1,539982.0___NA__
Advanced Enzyme,540025.0,ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,378.0,10.88,12.55,10.65,86.9,75.19,,1.39,1.28,1.38,1.13,53.69,0.0,10.29,14.15,17.31,19.37,22.75,15.07,13.5,-8.98,37.94,40.29,77537.0,9.72,62.08,62.75,51.09,11.49,9.42,29.65,28.69,27.85,28.08,3854.07,2038.71,4596.69,,193.45,6.61,-0.9,4226.99,540025.0_ADVENZYMES
Advani Hotels.,523269.0,ADVANIHOTR,Hotels,71.26,9.24,25.17,35.23,4.68,5.12,3.68,3.94,7.19,7.04,4.78,0.0,0.0,11.37,44.48,29.84,29.27,27.52,22.54,24.07,10.73,27.81,26.54,13901.0,86.0,5.09,5.05,17.76,15.9,23.38,21.15,30.38,25.38,22.07,262.69,314.62,262.69,165.67,-38.32,0.21,-0.06,658.7,523269.0_ADVANIHOTR
Advik Capital,539773.0,__NA__,Finance & Investments,2.58,42.7,10.63,12.36,0.24,0.28,,1.77,2.44,0.71,2.78,0.0,0.0,0.0,12.35,8.34,6.73,5.13,8.3,9.43,48.31,1.76,1.87,23929.0,0.0,3.36,138.19,66.73,3.91,6.15,16.27,17.88,17.88,16.28,53.95,64.23,134.51,,17.0,0.0,0.0,110.47,539773.0___NA__
Aegis Logistics,500003.0,AEGISLOG,Trading,873.0,33.4,14.21,15.92,55.17,48.71,12.79,67.43,171.08,182.96,161.13,0.0,0.0,115.09,15.82,15.05,16.11,17.73,15.39,14.83,-2.35,8.92,7.65,71850.0,31.96,40.09,8.94,14.85,8.49,9.64,26.7,32.79,33.76,30.73,10482.61,6786.88,6499.64,566.8,12.02,3.21,3.01,30642.3,500003.0_AEGISLOG
Aeonx Digital,524594.0,__NA__,Trading,135.0,,-1.13,3.91,87.93,81.02,,27.82,10.57,5.82,,55.64,39.61,0.23,4.73,0.15,1.43,1.43,,-0.76,21.87,-8.26,,3937.0,13.78,202.37,208.21,65.34,0.34,2.88,25.92,20.88,21.42,26.38,34.43,25.3,41.77,8.51,351.53,2.47,0.0,62.1,524594.0___NA__
Aeroflex,543972.0,AEROFLEX,Steel - Medium / Small,162.4,,24.25,26.95,,,,2.9,3.38,,,0.0,74.74,1.1,32.21,25.82,24.04,24.04,,,5.0,18.09,,,5.11,93.06,85.57,68.38,11.24,15.43,49.9,49.9,49.9,49.9,,,,,110.62,,,2100.19,543972.0_AEROFLEX
Aerpace Indus,534733.0,__NA__,Trading,30.91,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,7133.0,,0.0,,,,,,,,,35.27,30.62,78.74,20.37,0.0,0.0,0.0,422.46,534733.0___NA__
Aether Industri.,543534.0,AETHER,Chemicals,919.85,,,,,,,,,,,,,,12.98,12.98,12.98,12.98,,,,,,53456.0,0.0,129.47,,,,,89.96,89.96,89.96,89.96,,,,,278.58,,,12192.64,543534.0_AETHER
Affle India,542752.0,AFFLE,Computers - Software - Medium / Small,1357.35,,21.17,18.56,28.14,17.97,,,,,,52.3,0.0,0.0,21.45,29.23,42.42,42.42,,,-30.85,20.71,,364615.0,0.0,68.16,76.22,70.07,17.5,13.57,62.27,65.38,65.38,65.38,13917.39,,,,23.93,-3.46,7.72,19031.28,542752.0_AFFLE
Affordable Robo.,541402.0,__NA__,Engineering,559.0,0.03,5.07,8.59,40.96,44.12,,0.01,0.02,1.43,1.96,0.0,0.0,0.0,10.29,7.69,13.63,19.97,9.86,8.26,-8.84,7.99,10.12,866.0,0.0,186.77,274.5,137.57,1.83,3.13,73.19,38.74,38.74,66.17,103.94,121.04,,,180.26,0.0,-1.43,628.65,541402.0___NA__
AFLOAT Enterpris,543377.0,__NA__,Trading,12.0,,0.48,0.78,,,,,,,,0.0,0.0,0.0,2.2,1.49,21.19,21.19,,,,-2.54,,129.0,0.0,150.15,9.71,121.67,0.32,0.67,74.67,74.67,74.67,74.67,,,,,586.16,,,5.47,543377.0___NA__
Agarwal Float,-1.0,AGARWALFT,Trading,65.15,,,13.25,,,,4.46,,,,0.0,0.0,0.0,15.2,14.1,14.1,14.1,,,,4.54,,301.0,0.0,71.59,113.09,,,5.74,33.98,33.98,33.98,33.98,,,,,136.54,,,47.19,-1.0_AGARWALFT
Agarwal Fortune,530765.0,__NA__,Trading,23.25,0.35,-31.63,-31.22,1.74,2.22,4.39,-0.5,-1.6,,2.0,0.0,,0.0,-9.59,-9.21,-2.57,-2.95,-9.19,-7.75,-23.22,,,1650.0,0.0,22.13,40.56,,-15.13,-15.24,51.28,50.05,50.05,50.23,0.7,0.38,0.64,0.5,19.91,0.0,0.0,8.16,530765.0___NA__
Agarwal Indl.,531921.0,AGARIND,Petrochemicals,1172.0,0.55,24.02,25.17,191.16,153.54,78.36,19.61,24.05,11.71,22.46,0.0,0.0,2.85,22.13,20.65,18.43,17.36,20.88,21.93,17.47,7.16,7.23,13925.0,4.1,39.18,54.46,77.69,12.07,13.09,10.68,11.36,10.59,8.93,162.91,163.06,616.79,75.06,35.5,6.32,0.17,1753.05,531921.0_AGARIND
AGI Greenpac,500187.0,AGI,Packaging,703.75,7.23,11.95,15.58,190.67,173.84,198.57,1.49,3.0,2.22,2.24,0.0,0.0,30.22,13.8,11.3,9.46,9.56,8.99,9.43,75.42,19.76,17.05,44907.0,14.85,60.46,91.92,73.5,5.38,7.39,14.93,9.55,12.2,14.59,993.75,540.8,755.25,257.86,97.52,0.74,-2.06,4553.1,500187.0_AGI
AGI Infra,539042.0,__NA__,Construction,853.95,,28.19,29.92,74.26,66.79,,0.14,0.09,0.65,,0.0,0.0,0.71,28.84,24.81,22.38,21.81,,27.35,8.05,26.73,,1434.0,1.97,4.18,20.36,54.87,5.49,6.44,14.09,9.55,9.55,9.99,101.83,64.06,145.08,,9.04,0.0,0.0,1043.27,539042.0___NA__
Agio Paper,516020.0,__NA__,Paper,4.3,1.61,,,-13.51,4.69,-1.47,0.04,0.02,0.03,0.04,,,0.0,-2.17,-2.68,-3.19,-2.01,,,,,,8172.0,0.0,85.17,,,-5.39,-5.36,,0.44,,,2.87,4.11,2.98,3.72,-7750.17,0.0,0.0,6.94,516020.0___NA__
Agni Green,-1.0,AGNI,Electric Equipment,52.35,,-0.49,-0.99,,,,5.62,3.84,,,0.0,1.12,0.0,3.07,3.46,3.46,4.26,,,,3.83,,360.0,0.0,270.14,186.95,276.32,-0.32,-0.66,182.31,182.31,182.31,182.31,,,,,384.88,,,102.26,-1.0_AGNI
Agri-Tech India,537292.0,AGRITECH,Miscellaneous,198.3,0.59,1.59,3.15,150.1,180.3,27.17,0.0,0.0,0.4,0.07,0.0,0.0,0.0,3.29,1.91,1.18,0.34,0.55,0.85,65.73,-291.94,-349.44,23558.0,0.0,0.0,0.0,0.0,1.38,2.63,34.16,10.91,16.44,42.46,18.32,29.76,22.72,4.31,128494.07,0.01,-0.03,117.8,537292.0_AGRITECH
Agro Phos India,-1.0,AGROPHOS,Fertilizers,47.47,0.29,5.57,3.59,20.54,18.95,,1.47,2.07,3.0,3.94,0.0,0.0,0.1,7.53,8.93,8.73,12.1,7.89,4.99,,2.74,3.87,21158.0,2.9,41.41,100.9,116.81,3.21,2.3,11.98,13.09,13.68,10.93,23.72,142.32,44.6,,139.93,0.0,-0.01,96.24,-1.0_AGROPHOS
