Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization,join_key
Advanced Enzyme,540025.0,ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,379.35,53.76,138.71,44.14,7.02,55.22,8.45,46.77,0.61,42.1,9.98,35.01,-4.06,32.11,31.82,25.24,22.36,2.87,4242.07,540025.0_ADVENZYMES
Advani Hotels.,523269.0,ADVANIHOTR,Hotels,70.83,12.81,30.44,14.61,0.54,15.15,0.7,14.45,0.05,14.4,3.46,10.93,0.0,10.93,48.0,35.91,9.24,1.18,654.73,523269.0_ADVANIHOTR
Advik Capital,539773.0,__NA__,Finance & Investments,2.58,3.12,228.89,-0.55,0.0,-0.55,0.06,-0.61,1.03,-1.64,-0.29,-1.34,0.0,-1.35,-0.24,-0.59,4.59,-0.03,110.47,539773.0___NA__
Aegis Logistics,500003.0,AEGISLOG,Trading,878.85,211.81,2154.47,202.55,63.65,266.2,29.16,237.04,25.35,211.69,52.37,140.86,0.0,159.32,9.4,7.39,35.1,4.01,30847.66,500003.0_AEGISLOG
Aeonx Digital,524594.0,__NA__,Trading,135.0,0.34,7.77,-0.2,2.31,2.11,0.22,1.89,0.01,1.88,0.63,1.24,0.0,1.24,-2.57,15.96,4.6,2.7,62.1,524594.0___NA__
Aeroflex,543972.0,AEROFLEX,Steel - Medium / Small,162.5,13.82,70.07,18.74,0.03,18.77,1.54,17.23,0.96,16.27,3.73,12.53,0.0,12.53,26.74,17.88,,1.1,2101.48,543972.0_AEROFLEX
Aerpace Indus,534733.0,__NA__,Trading,30.91,,,,,,,,,,,,,,,,,,422.46,534733.0___NA__
Aether Industri.,543534.0,AETHER,Chemicals,921.8,31.32,183.78,59.63,0.59,60.22,6.89,53.33,1.17,52.16,14.59,37.56,0.0,37.56,32.45,20.44,,3.02,12218.48,543534.0_AETHER
Affle India,542752.0,AFFLE,Computers - Software - Medium / Small,1360.2,96.68,355.82,69.0,17.52,86.52,13.55,72.97,3.11,69.86,7.47,62.38,0.0,62.38,19.39,17.53,26.65,4.68,19071.24,542752.0_AFFLE
Affordable Robo.,541402.0,__NA__,Engineering,559.0,-2.83,95.02,16.7,,,,,,,,,,13.03,,,,11.63,628.65,541402.0___NA__
AFLOAT Enterpris,543377.0,__NA__,Trading,12.0,-0.06,3.57,-0.08,,,,,,,,,,0.08,,,,0.18,5.47,543377.0___NA__
Agarwal Float,-1.0,AGARWALFT,Trading,65.15,1.6,24.62,0.62,,,,,,,,,,0.05,,,,0.07,47.19,-1.0_AGARWALFT
Agarwal Fortune,530765.0,__NA__,Trading,23.0,0.0,2.67,-0.06,0.0,-0.06,0.0,-0.06,0.0,-0.06,0.03,-0.08,0.0,-0.08,-2.25,-3.0,3.45,-0.23,8.07,530765.0___NA__
Agarwal Indl.,531921.0,AGARIND,Petrochemicals,1168.2,44.34,659.54,42.55,0.64,43.19,6.28,36.91,3.61,33.3,5.0,28.3,0.0,28.3,6.45,4.29,13.21,18.92,1747.37,531921.0_AGARIND
AGI Greenpac,500187.0,AGI,Packaging,705.0,150.19,680.32,176.86,31.6,195.51,37.67,157.84,24.97,145.82,37.03,95.84,12.95,108.79,26.0,14.09,12.94,16.82,4561.18,500187.0_AGI
AGI Infra,539042.0,__NA__,Construction,855.0,19.25,66.36,12.5,2.49,14.99,2.01,12.98,1.2,11.78,-1.54,13.32,0.0,13.32,18.84,20.07,12.22,10.9,1044.55,539042.0___NA__
Agio Paper,516020.0,__NA__,Paper,4.3,0.04,0.0,-0.09,0.0,-0.09,0.02,-0.11,0.22,-0.33,0.0,-0.33,0.0,-0.33,,,16.13,-0.2,6.94,516020.0___NA__
Agni Green,-1.0,AGNI,Electric Equipment,52.35,0.94,17.36,2.72,,,,,,,,,,2.53,,,,1.3,102.26,-1.0_AGNI
Agri-Tech India,537292.0,AGRITECH,Miscellaneous,198.15,-0.23,0.0,-0.19,0.02,-0.17,0.01,-0.18,0.0,-0.18,0.04,-0.21,0.0,-0.21,,,5.94,-0.35,117.71,537292.0_AGRITECH
Agro Phos India,-1.0,AGROPHOS,Fertilizers,47.7,-7.22,25.91,0.83,0.19,1.02,0.39,0.63,0.66,-0.03,0.21,-0.24,0.0,-0.24,3.2,-0.93,20.27,-0.12,96.7,-1.0_AGROPHOS
Agro Tech Foods.,500215.0,ATFL,Food - Processing - Indian,726.5,8.95,201.98,13.19,0.04,13.23,5.52,7.71,0.99,6.72,1.7,5.02,0.0,5.02,6.53,2.49,24.37,2.06,1770.45,500215.0_ATFL
AGS Transact,543451.0,AGSTRA,Computers - Hardware,80.17,57.57,424.72,73.27,10.21,83.48,57.17,26.31,39.1,-12.79,2.57,-15.36,0.0,-15.36,17.25,-3.62,120.17,-1.26,980.11,543451.0_AGSTRA
Ahasolar Technol,543941.0,__NA__,Trading,331.0,-0.77,11.03,1.51,,,,,,,,,,1.43,,,,6.32,102.03,543941.0___NA__
Ahimsa Industrie,-1.0,AHIMSA,Plastics Products,18.9,0.09,8.63,-0.03,,,,,,,,,,-0.48,,,,-0.88,10.35,-1.0_AHIMSA
Ahlada Engineers,-1.0,AHLADA,Steel - Medium / Small,116.5,8.23,49.54,10.06,0.07,10.13,3.31,6.82,0.91,5.91,2.78,3.14,0.0,3.14,20.31,6.34,12.92,2.43,150.54,-1.0_AHLADA
Ahluwalia Contr.,532811.0,AHLUCONT,Construction,1240.8,111.85,863.05,110.2,8.91,119.11,10.25,108.86,11.19,97.67,25.51,72.16,0.0,72.16,12.77,8.36,13.4,10.77,8311.81,532811.0_AHLUCONT
Ahm. Steelcraft,522273.0,__NA__,Trading,105.3,-0.3,0.59,-0.29,0.44,0.15,0.04,0.11,0.0,0.11,0.01,0.1,0.0,0.1,-49.15,16.95,4.09,0.24,43.07,522273.0___NA__
AI Champ.Inds.,532806.0,__NA__,Textiles - Jute - Yarn / Products,57.0,7.92,16.55,-33.74,53.82,20.08,0.58,19.5,1.86,17.64,-3.18,20.8,0.0,20.83,-203.87,125.86,15.38,6.76,175.3,532806.0___NA__
AIA Engineering,532683.0,AIAENG,Castings & Forgings,4216.05,311.22,1273.57,315.74,63.81,379.55,23.25,356.3,9.89,346.41,78.75,267.66,0.0,267.66,24.79,21.02,18.86,28.43,39765.95,532683.0_AIAENG
Aik Pipes & Poly,544072.0,__NA__,Plastics Products,127.0,,,,,,,,,,,,,,,,,,80.81,544072.0___NA__
Aimco Pesticides,524288.0,__NA__,Pesticides / Agrochemicals - Indian,100.0,-0.58,41.57,-3.85,0.09,-3.76,0.95,-4.71,1.67,-6.38,-1.63,-4.75,0.0,-4.75,-9.26,-11.43,9.58,-4.96,95.83,524288.0___NA__
Aimtron,-1.0,AIMTRON,Electronics - Components,573.0,11.32,,,,,,,,,,,,,,,,,1169.71,-1.0_AIMTRON
Aion-Tech Soluti,531439.0,GOLDTECH,Computers - Software - Medium / Small,144.85,0.06,26.39,-0.21,0.29,0.08,0.45,-0.37,0.26,-0.63,0.09,-0.72,0.0,-0.72,-0.8,-2.73,34.58,-0.21,500.92,531439.0_GOLDTECH
Airan,543811.0,AIRAN,Computers - Software - Medium / Small,31.48,4.47,25.7,5.07,0.36,5.43,1.41,4.02,0.13,3.89,1.03,2.8,0.0,2.86,19.73,11.13,25.0,0.22,393.57,543811.0_AIRAN
Airo Lam,-1.0,AIROLAM,Miscellaneous,139.88,5.21,52.21,5.54,-0.23,5.31,0.84,4.47,1.41,3.06,0.62,2.45,0.0,2.45,10.61,4.69,,1.63,209.84,-1.0_AIROLAM
Ajanta Pharma,532331.0,AJANTPHARM,Pharmaceuticals - Indian - Formulations,2288.9,314.07,881.84,149.37,36.83,186.2,33.02,153.18,1.13,152.05,29.8,122.25,0.0,122.25,16.94,13.86,17.17,9.54,28821.32,532331.0_AJANTPHARM
Ajanta Soya,519216.0,__NA__,Miscellaneous,31.6,2.0,277.66,0.63,0.54,1.17,0.29,0.88,0.9,-0.02,0.33,-0.36,0.0,-0.36,0.23,-0.13,16.1,-0.04,254.31,519216.0___NA__
Ajcon Global,511692.0,__NA__,Finance & Investments,33.05,0.67,2.33,-0.03,-0.01,-0.04,0.1,-0.14,0.2,-0.34,-0.08,-0.24,0.0,-0.26,-1.29,-11.16,6.12,-0.39,20.23,511692.0___NA__
Ajel,530713.0,__NA__,Computers - Software - Converts,15.0,-0.71,1.63,-0.05,0.0,-0.05,0.0,-0.05,0.01,-0.06,0.0,-0.06,0.0,-0.06,-3.07,-3.68,,-0.05,17.48,530713.0___NA__
Ajmera Realty,513349.0,AJMERA,Construction,679.35,59.97,114.25,31.02,3.55,34.57,0.45,34.12,14.69,19.43,4.64,14.79,0.0,14.79,27.15,12.95,35.48,4.26,2410.34,513349.0_AJMERA
Ajooni Biotech,-1.0,AJOONI,Food - Processing - Indian,5.46,-0.65,41.26,0.94,0.26,1.2,0.24,0.96,0.12,0.84,0.3,0.54,0.0,0.54,2.28,1.31,,0.03,94.03,-1.0_AJOONI
Ajwa Fun World,526628.0,__NA__,Recreation / Amusement Parks,38.39,-0.21,0.78,0.13,0.0,0.13,0.05,0.08,0.03,0.05,0.0,0.05,0.0,0.05,16.67,6.41,6.39,0.08,24.53,526628.0___NA__
Akanksha Power,-1.0,AKANKSHA,Electric Equipment,130.9,,,,,,,,,,,,,,,,,,242.4,-1.0_AKANKSHA
Akar Auto Indust,530621.0,__NA__,Auto Ancillaries,100.45,6.47,101.68,6.8,0.05,6.85,1.05,5.8,3.29,2.51,-0.28,2.79,0.0,2.79,6.69,2.74,5.39,2.59,108.38,530621.0___NA__
Akash InfraProj.,-1.0,AKASH,Construction,33.94,-1.23,13.29,1.89,0.15,2.04,0.27,1.77,1.67,0.1,0.1,0.01,0.0,0.01,14.22,0.08,16.86,0.01,57.23,-1.0_AKASH
AKG Exim,-1.0,AKG,Trading,22.29,0.83,58.2,1.28,0.36,1.64,0.12,1.52,0.3,1.22,0.26,0.97,0.0,0.97,2.2,1.67,10.59,0.31,70.82,-1.0_AKG
AKI India,542020.0,AKI,Leather / Leather Products,25.23,0.45,14.52,0.86,0.5,1.36,0.48,0.88,0.67,0.21,-0.02,0.23,0.0,0.23,5.92,1.58,10.3,0.03,216.37,542020.0_AKI
AKM Creations,540718.0,__NA__,Trading,121.7,0.12,13.23,0.05,0.03,-0.02,0.03,-0.05,0.0,-0.05,0.0,-0.04,0.0,0.2,-2.34,-1.87,,0.66,158.36,540718.0___NA__
Akme Fintrade,544200.0,AFIL,Finance & Investments,113.2,,,,,,,,,,,,,,,,,,483.08,544200.0_AFIL
Aksh Optifibre,532351.0,AKSHOPTFBR,Cables - Telephone,8.15,3.03,79.57,12.54,-13.01,13.14,6.21,6.93,4.44,-11.12,2.31,-2.89,-13.61,-13.44,15.76,-3.63,81.35,-0.83,132.59,532351.0_AKSHOPTFBR
Akshar Spintex,541303.0,AKSHAR,Textiles - Cotton/Blended,2.59,1.81,37.39,2.41,0.74,3.15,1.07,2.08,0.4,1.68,-1.75,3.44,0.0,3.44,6.45,9.2,25.0,0.11,77.7,541303.0_AKSHAR
AksharChem (I),524598.0,AKSHARCHEM,Dyes And Pigments,324.8,4.94,64.74,1.69,0.07,1.76,3.17,-1.41,0.67,-2.08,-0.12,-1.97,0.0,-1.97,2.61,-3.04,8.03,-2.45,260.92,524598.0_AKSHARCHEM
Akzo Nobel,500710.0,AKZOINDIA,Paints / Varnishes,2858.45,166.4,951.4,154.7,6.1,160.8,22.5,138.3,5.7,132.6,37.2,95.4,0.0,95.4,16.26,10.03,45.5,20.95,13017.46,500710.0_AKZOINDIA
Alacrity Sec.,535916.0,__NA__,Finance & Investments,92.9,9.61,91.41,2.77,0.42,-1.18,0.11,-1.29,0.38,-1.67,-0.01,-1.65,0.0,1.56,-3.86,-3.99,,0.74,224.45,535916.0___NA__
Alan Scott Inds.,539115.0,__NA__,Textiles - Products,81.3,0.07,1.22,-0.04,-0.05,0.05,0.37,-0.32,0.21,-0.67,0.0,-0.46,-0.14,-0.67,-3.28,-43.44,1.83,-1.57,29.02,539115.0___NA__
Alankit,531082.0,ALANKIT,Computers - Software - Medium / Small,21.08,3.56,148.18,8.26,2.08,10.34,2.47,7.87,0.13,7.74,2.13,4.71,0.0,5.6,5.57,3.78,14.3,0.21,571.57,531082.0_ALANKIT
Albert David,524075.0,ALBERTDAVD,Pharmaceuticals - Indian - Bulk Drugs & Formln,1339.5,8.36,81.42,9.59,0.01,9.6,2.3,7.3,0.11,7.19,3.46,3.73,0.0,3.73,11.78,4.58,5.71,6.54,764.81,524075.0_ALBERTDAVD
Alchemist Corp.,531409.0,__NA__,Trading,12.7,-0.04,0.0,-0.09,0.0,-0.09,0.0,-0.09,0.0,-0.09,0.0,-0.09,0.0,-0.09,,,4.91,-0.18,6.24,531409.0___NA__
Alembic,506235.0,ALEMBICLTD,Construction,113.2,11.67,37.12,13.44,-8.57,15.48,1.7,13.78,0.13,3.04,-1.66,58.86,-10.61,48.25,36.21,158.57,51.36,1.88,2906.77,506235.0_ALEMBICLTD
Alembic Pharma,533573.0,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,913.75,266.32,1406.45,203.77,0.89,204.66,74.12,130.54,14.37,116.17,-36.43,152.6,0.0,152.6,14.49,10.85,39.31,7.76,17960.97,533573.0_APLLTD
Alexander Stamps,511463.0,__NA__,Trading,14.6,0.0,0.15,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,6.67,6.67,9.31,0.01,13.6,511463.0___NA__
Alfa Ica (I),530973.0,__NA__,Miscellaneous,63.5,1.01,13.83,0.99,0.15,1.14,0.27,0.87,0.35,0.52,0.13,0.39,0.0,0.39,7.16,2.82,4.04,0.97,25.66,530973.0___NA__
Alfa Transformer,517546.0,__NA__,Electric Equipment,93.36,0.68,7.24,0.44,0.24,0.68,0.27,0.41,0.35,0.06,-0.15,0.2,0.0,0.2,6.08,2.76,9.15,0.22,85.43,517546.0___NA__
Alfavision Overs,531156.0,__NA__,Miscellaneous,11.55,-0.07,-0.58,-0.61,0.0,-0.61,0.02,-0.63,0.43,-1.06,0.0,-1.06,0.0,-1.06,,,3.15,-0.34,36.41,531156.0___NA__
Alfred Herbert,505216.0,__NA__,Finance & Investments,1465.0,0.0,0.44,0.01,0.78,0.79,0.04,0.75,0.01,0.74,-0.04,0.78,0.0,0.78,2.27,177.27,0.77,10.11,112.81,505216.0___NA__
Algoquant Fin,505725.0,__NA__,Finance & Investments,1211.0,6.29,0.28,-9.53,-0.14,-9.02,0.07,-9.09,1.07,-10.81,-4.08,-6.09,-0.65,-6.74,-3403.57,-2175.0,1.61,-8.39,973.16,505725.0___NA__
Alicon Cast.,531147.0,ALICON,Castings & Forgings,1246.1,52.2,319.25,31.72,1.42,33.14,16.69,16.45,8.56,7.89,-1.81,9.7,0.0,9.7,9.94,3.04,8.06,6.02,2026.4,531147.0_ALICON
Alkali Metals,533029.0,ALKALI,Chemicals,151.7,2.77,26.9,3.3,0.23,3.62,1.1,2.52,1.18,1.25,0.27,1.05,-0.09,0.98,12.27,3.9,10.18,0.96,154.43,533029.0_ALKALI
Alkem Lab,539523.0,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,4981.15,707.59,2902.6,353.25,-34.31,421.92,78.32,343.6,28.96,211.66,143.98,100.61,-102.98,67.68,12.17,3.47,23.91,5.94,59557.12,539523.0_ALKEM
Alkosign,543453.0,__NA__,Printing & Stationery,115.0,8.6,12.27,1.89,,,,,,,,,,0.18,,,,0.33,82.74,543453.0___NA__
Alkyl Amines,506767.0,ALKYLAMINE,Chemicals,2159.9,59.61,412.48,77.74,2.03,79.77,11.59,68.18,1.08,67.1,18.46,48.64,0.0,48.64,18.85,11.79,10.22,9.52,11043.82,506767.0_ALKYLAMINE
All E Tech,-1.0,ALLETEC,Computers - Software - Medium / Small,252.8,5.54,23.77,2.54,1.9,4.65,0.26,4.39,0.0,4.18,1.08,3.29,-0.21,3.1,10.69,13.93,15.33,1.53,510.51,-1.0_ALLETEC
Allcargo Gati,532345.0,ACLGATI,Trading,111.85,6.69,415.67,11.42,1.11,18.27,18.07,0.2,7.31,-12.85,7.6,-14.51,-5.74,-20.45,2.75,-4.46,24.59,-1.23,1456.91,532345.0_ACLGATI
Allcargo Logist.,532749.0,ALLCARGO,Miscellaneous,60.83,100.28,3395.1,140.27,21.94,160.57,80.67,79.9,18.95,62.59,10.69,50.54,1.64,51.9,4.13,1.49,49.14,0.63,5978.26,532749.0_ALLCARGO
Allcargo Termi,543954.0,ATL,Miscellaneous,50.38,29.3,183.74,26.39,8.12,34.51,12.41,22.1,6.75,15.35,2.75,12.6,0.0,12.6,14.36,6.86,,,1237.8,543954.0_ATL
Alliance Integ.,534064.0,__NA__,Steel - Medium / Small,81.25,4.19,13.09,-0.58,108.23,-0.49,6.94,-7.43,33.69,67.02,0.0,-41.11,108.14,67.03,-4.43,-314.06,11.61,5.77,1069.66,534064.0___NA__
Allied Digital,532875.0,ADSL,Computers - Software - Medium / Small,194.85,20.67,166.23,18.67,-46.83,18.69,4.4,14.29,1.02,-33.58,3.77,9.5,-46.85,-37.35,11.23,5.71,27.1,-6.81,1079.61,532875.0_ADSL
Allsec Tech.,532633.0,ALLSEC,Computers - Software - Medium / Small,1201.0,30.41,107.98,23.72,0.88,24.6,8.51,16.09,0.88,15.21,3.09,12.12,0.0,12.12,21.97,11.22,15.24,7.95,1830.31,532633.0_ALLSEC
Almondz Global,531400.0,ALMONDZ,Finance & Investments,137.65,3.75,26.63,2.91,3.87,6.78,0.6,6.18,1.44,4.74,0.71,4.03,0.0,4.03,10.93,15.13,15.53,1.56,381.08,531400.0_ALMONDZ
Alok Industries,521070.0,ALOKINDS,Textiles - Processing,29.1,-5.73,1570.48,-69.7,8.22,-61.48,92.21,-153.69,143.35,-297.04,0.51,-297.55,0.0,-297.55,-4.44,-18.95,496.53,-0.6,14448.83,521070.0_ALOKINDS
Alpa Laboratorie,532878.0,ALPA,Pharmaceuticals - Indian - Formulations,85.71,2.43,29.16,9.22,-0.69,8.53,0.53,8.0,0.04,7.96,3.31,4.65,0.0,4.65,31.62,15.95,21.04,2.21,180.33,532878.0_ALPA
Alpex Solar,-1.0,ALPEXSOLAR,Electric Equipment,958.0,14.19,,,,,,,,,,,,,,,,,2344.54,-1.0_ALPEXSOLAR
Alphageo (India),526397.0,ALPHAGEO,Miscellaneous,386.85,3.56,14.12,1.06,1.46,2.52,3.76,-1.24,0.07,-1.31,-0.28,-1.03,0.0,-1.03,7.51,-7.29,6.38,-1.62,246.2,526397.0_ALPHAGEO
Alphalogic Indu,543937.0,__NA__,Engineering,307.5,1.4,11.86,2.14,,,,,,,,,,1.49,,,,24.83,313.32,543937.0___NA__
Alphalogic Tech.,542770.0,__NA__,Computers - Software - Medium / Small,267.0,1.58,8.61,1.83,0.1,1.93,0.02,1.91,0.16,1.75,0.45,1.3,0.0,1.3,21.25,15.1,11.29,0.28,1251.01,542770.0___NA__
Alpine Housing,526519.0,__NA__,Construction,129.0,1.66,18.36,2.44,0.0,2.44,0.19,2.25,0.45,1.8,0.32,1.48,0.0,1.48,13.29,8.06,,0.85,223.44,526519.0___NA__
Alps Industries,530715.0,ALPSINDUS,Textiles - Products,4.1,-0.26,1.52,-4.26,0.16,-4.1,0.0,-4.1,13.95,-18.05,0.0,-18.05,0.0,-18.05,-280.26,-1187.5,39.11,-4.61,16.03,530715.0_ALPSINDUS
Alstone Textiles,539277.0,__NA__,Trading,0.82,-0.08,0.0,-1.09,5.0,3.91,0.0,3.91,0.0,3.91,0.0,3.9,0.0,3.9,,,12.75,0.03,104.54,539277.0___NA__
Alufluoride,524634.0,__NA__,Chemicals,500.95,6.91,36.84,8.11,0.37,8.47,1.96,6.51,0.77,5.75,1.58,4.16,0.01,4.17,22.01,11.29,7.82,5.33,391.79,524634.0___NA__
Aluwind,-1.0,ALUWIND,Construction,67.5,,28.79,1.47,,,,,,,,,,0.62,,,,2.45,167.72,-1.0_ALUWIND
Amal,506597.0,__NA__,Chemicals,370.0,6.07,17.35,-0.37,0.8,0.43,2.27,-1.84,1.5,-3.34,0.6,-3.95,0.0,-3.95,-2.13,-22.77,9.43,-3.2,457.44,506597.0___NA__
Amalgamated Elec,501622.0,__NA__,Miscellaneous,47.69,-0.01,0.0,-0.02,0.01,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,,,1.39,-0.04,13.24,501622.0___NA__
Amanaya Ventures,543804.0,__NA__,Trading,24.75,0.08,5.21,0.06,,,,,,,,,,0.04,,,,0.11,9.25,543804.0___NA__
Amara Raja Ener.,500008.0,ARE&M,Auto Ancillaries,1635.2,434.89,2433.01,353.16,-24.78,376.03,123.79,252.24,8.14,196.45,55.47,174.1,-47.65,140.98,14.52,7.16,17.08,8.25,29928.33,500008.0_ARE&M
Amarjothi Spg.,521097.0,__NA__,Textiles - Cotton/Blended,215.0,6.42,58.75,8.41,0.59,9.0,2.11,6.89,1.44,5.45,1.11,4.34,0.0,4.34,14.31,7.39,6.75,6.43,145.09,521097.0___NA__
Amarnath Sec.,538465.0,__NA__,Finance & Investments,56.79,0.09,0.1,0.05,0.0,0.05,0.0,0.05,0.01,0.04,0.0,0.04,0.0,0.04,50.0,40.0,3.0,0.13,17.04,538465.0___NA__
Amba Enterprises,539196.0,__NA__,Electric Equipment,238.0,1.9,66.68,2.45,0.01,2.46,0.15,2.31,0.07,2.24,0.53,1.71,0.0,1.71,3.67,2.56,6.33,1.35,301.31,539196.0___NA__
Ambalal Sarabhai,500009.0,__NA__,Trading,47.14,2.53,44.44,3.35,5.71,9.06,0.92,8.14,0.99,7.15,1.44,5.71,0.0,5.71,7.54,12.85,76.63,0.75,361.27,500009.0___NA__
Ambani Organics,-1.0,AMBANIORG,Chemicals,105.0,4.74,66.06,4.95,,,,,,,,,,1.11,,,,1.73,74.12,-1.0_AMBANIORG
Ambar Protein,519471.0,__NA__,Solvent Extraction,144.2,3.82,90.0,0.83,0.14,0.97,0.31,0.66,0.6,0.06,0.07,-0.02,0.0,-0.02,0.92,-0.02,5.75,-0.03,82.92,519471.0___NA__
Ambassador Intra,542524.0,__NA__,Trading,34.74,-0.06,0.2,-0.1,0.06,-0.04,0.0,-0.04,0.0,-0.04,-0.01,-0.03,0.0,-0.03,-50.0,-15.0,2.09,-0.14,7.26,542524.0___NA__
Amber Enterp.,540902.0,AMBER,Electronics - Components,4503.15,78.5,3002.62,203.51,18.69,222.2,38.84,183.36,37.46,145.9,37.8,103.98,0.0,108.09,6.78,3.6,33.69,30.86,15172.79,540902.0_AMBER
Ambica Agarbat.,532335.0,AMBICAAGAR,Chemicals,25.83,1.73,35.16,3.23,1.88,5.11,-0.6,5.71,2.51,3.2,1.43,1.78,0.0,1.78,9.19,5.06,,1.04,44.36,532335.0_AMBICAAGAR
Ambika Cotton,531978.0,AMBIKCO,Textiles - Cotton/Blended,1660.0,27.31,186.22,31.29,4.06,35.35,7.49,27.86,3.01,24.85,6.72,18.13,0.0,18.13,16.8,9.74,5.72,31.67,950.35,531978.0_AMBIKCO
Ambition Mica,539223.0,__NA__,Miscellaneous,3.09,1.22,2.85,-3.8,0.01,-3.79,0.16,-3.95,0.14,-4.09,0.44,-4.53,0.0,-4.53,-133.33,-158.95,,-3.04,4.61,539223.0___NA__
Ambitious Plasto,526439.0,__NA__,Trading,8.27,0.08,0.0,-0.04,0.0,-0.04,0.0,-0.04,0.0,-0.04,0.0,-0.04,0.0,-0.04,,,5.81,-0.07,4.8,526439.0___NA__
Ambo Agritec,543678.0,__NA__,Solvent Extraction,96.38,,,,,,,,,,,,,,,,,,90.55,543678.0___NA__
Ambuja Cements,500425.0,AMBUJACEM,Cement - North India,670.85,1732.1,7965.98,1239.03,141.62,1527.78,352.33,1175.45,39.43,988.89,225.59,738.01,-147.13,763.3,15.55,10.96,,3.25,165238.63,500425.0_AMBUJACEM
Amco India,530133.0,__NA__,Aluminium and Aluminium Products,58.1,0.29,33.53,-0.25,0.67,0.42,0.22,0.2,0.46,-0.26,0.0,-0.25,0.0,-0.25,-0.75,-0.75,4.11,-0.61,23.88,530133.0___NA__
AMD Industries,532828.0,AMDIND,Packaging,72.2,3.8,113.83,18.25,0.14,18.39,3.7,14.69,3.8,10.89,2.87,8.01,0.0,8.01,16.03,7.04,19.17,4.18,138.41,532828.0_AMDIND
Amerise BioScie,531681.0,__NA__,Finance & Investments,0.65,-0.06,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,,,6.61,0.0,4.29,531681.0___NA__
Ameya Precision,-1.0,AMEYA,Engineering,119.5,1.36,15.36,1.65,0.03,0.8,0.2,0.6,0.02,0.58,0.0,0.58,0.0,1.15,11.61,8.75,,1.53,89.63,-1.0_AMEYA
Amforge Inds.,513117.0,__NA__,Finance & Investments,11.82,-0.41,0.0,-0.38,0.78,0.4,0.08,0.32,0.04,0.28,0.0,0.28,0.0,0.28,,,2.88,0.19,17.01,513117.0___NA__
Ami Organics,543349.0,AMIORG,Pharmaceuticals - Indian - Bulk Drugs,1299.85,26.51,186.38,40.85,-0.17,40.68,3.43,37.25,0.59,36.66,9.47,27.2,0.0,27.2,21.92,14.59,36.44,7.46,5317.11,543349.0_AMIORG
Amiable Logistic,-1.0,AMIABLE,Miscellaneous,82.0,0.58,16.03,0.32,0.11,0.38,0.04,0.34,0.0,0.34,0.06,0.28,0.0,0.43,2.92,3.03,1.21,2.46,14.34,-1.0_AMIABLE
Amic Forging,544037.0,__NA__,Castings & Forgings,1289.0,,,,,,,,,,,,,,,,,,1351.96,544037.0___NA__
Amin Tannery,541771.0,__NA__,Leather / Leather Products,2.28,0.75,14.8,0.91,0.0,0.91,0.21,0.7,0.49,0.21,0.07,0.14,0.0,0.14,6.15,0.95,10.8,0.01,24.62,541771.0___NA__
Amines & Plast.,506248.0,AMNPLST,Chemicals,288.95,17.02,166.88,13.87,1.04,14.91,1.21,13.7,2.51,11.19,2.64,8.55,0.0,8.55,8.31,5.12,11.0,1.55,1589.79,506248.0_AMNPLST
Amit Internation,531300.0,__NA__,Trading,3.64,-0.05,0.0,-0.05,0.3,0.25,0.0,0.25,0.0,0.25,0.01,0.24,0.0,0.24,,,18.95,0.13,6.9,531300.0___NA__
AMJ Land Holdin.,500343.0,AMJLAND,Construction,42.23,0.62,13.43,2.93,0.65,3.58,0.48,3.1,0.32,2.78,1.12,1.56,0.0,1.66,21.82,12.36,8.2,0.38,173.14,500343.0_AMJLAND
Amkay Products,544169.0,__NA__,Healthcare,74.5,,,,,,,,,,,,,,,,,,64.48,544169.0___NA__
Amrapali Inds.,526241.0,__NA__,Trading,17.41,2.86,3640.41,1.3,2.77,4.07,0.6,3.47,3.66,-0.19,-0.01,-0.18,0.0,-0.18,0.04,0.0,,-0.04,89.51,526241.0___NA__
Amraworld Agrico,531991.0,__NA__,Trading,1.04,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,,,12.03,0.0,12.51,531991.0___NA__
Amrutanjan Healt,590006.0,AMRUTANJAN,Pharmaceuticals - Indian - Formulations,766.0,21.57,100.32,12.98,4.82,17.8,1.31,16.49,0.02,16.47,3.78,12.7,0.0,12.7,12.94,12.66,2.92,4.34,2214.53,590006.0_AMRUTANJAN
