Name,BSE Code,NSE Code,Industry,Current Price,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Net cash flow last year,Cash beginning of last year,Cash end of last year,Free cash flow preceding year,Cash from operations preceding year,Cash from investing preceding year,Cash from financing preceding year,Net cash flow preceding year,Cash beginning of preceding year,Cash end of preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Free cash flow 10years,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Operating cash flow 10years,Investing cash flow 10years,Investing cash flow 7years,Investing cash flow 5years,Investing cash flow 3years,Cash 3Years back,Cash 5Years back,Cash 7Years back,Market Capitalization,join_key
Action Const.Eq.,532762.0,ACE,Engineering,1461.55,433.43,268.15,-368.23,-38.66,26.54,21.48,110.41,237.89,274.28,-217.51,-41.01,15.76,5.72,48.96,565.26,645.01,753.39,871.86,811.23,945.27,1106.7,1279.98,-941.74,-885.18,-823.05,-787.22,36.51,11.42,12.57,17404.64,532762.0_ACE
Active Clothing,541144.0,__NA__,Textiles - Products,100.89,20.77,1.28,-19.45,-1.15,0.17,0.14,0.31,-3.23,14.25,-17.43,-0.94,-4.12,4.26,0.14,7.8,13.5,4.9,-33.49,45.47,51.69,55.54,49.97,-57.9,-50.05,-35.75,-37.36,4.42,3.16,0.95,156.5,541144.0___NA__
AD Manum Finance,511359.0,__NA__,Finance & Investments,79.39,1.42,1.41,0.01,-1.1,0.33,0.23,0.56,-0.19,-1.81,1.64,-2.47,-2.65,2.88,0.25,-1.12,20.34,19.13,39.93,-2.77,18.62,17.29,38.53,2.22,2.77,2.63,2.5,8.45,0.96,0.76,59.54,511359.0___NA__
Adani Energy Sol,539254.0,ADANIENSOL,Power Generation And Supply,1003.6,6037.62,608.08,-4942.96,-543.24,551.42,190.64,2228.14,-925.22,3776.99,-4698.62,923.22,1.59,189.05,1704.14,-411.39,2095.15,4724.89,6134.96,13911.22,23132.75,27922.44,31620.04,-33881.51,-29471.83,-23229.81,-13577.96,1289.91,701.56,393.18,111950.82,539254.0_ADANIENSOL
Adani Enterp.,512599.0,ADANIENT,Trading,3178.4,10312.19,-11934.07,-18766.65,8878.68,424.22,1882.33,7068.48,2971.66,17626.46,-15458.84,-1197.52,970.1,912.23,5373.69,-19222.74,-18806.36,-21687.3,-26458.81,29323.93,35820.8,41999.11,56416.85,-80870.24,-66120.56,-60958.62,-51266.11,1810.82,1709.28,1715.09,362337.96,512599.0_ADANIENT
Adani Green,541450.0,ADANIGREEN,Power Generation And Supply,1782.35,7713.0,-7987.0,-21060.0,13953.0,606.0,1002.0,8764.0,3927.0,7265.0,-3857.0,-2973.0,435.0,567.0,1984.0,-15788.0,-21748.0,-26755.06,,18105.0,21671.0,23944.2,,,-63621.51,-56527.0,-43647.0,1019.0,361.47,186.75,282330.05,541450.0_ADANIGREEN
Adani Ports,532921.0,ADANIPORTS,Miscellaneous,1482.0,15017.58,7627.99,-6767.56,-7800.11,449.91,1125.82,7631.88,2962.25,11899.5,-16715.93,-2733.8,-7550.23,8676.05,4334.31,17364.59,26415.86,32468.96,34882.26,37337.22,52294.81,63932.35,73432.51,-61271.05,-52003.52,-43789.65,-28976.62,4700.78,5967.3,1976.8,320132.58,532921.0_ADANIPORTS
Adani Power,533096.0,ADANIPOWER,Power Generation And Supply,719.15,14170.15,11568.26,3480.9,-16864.03,787.02,349.23,7211.76,5187.68,8430.53,1544.79,-10408.46,-433.14,782.37,1873.65,23555.36,30339.77,39165.21,49433.42,32833.41,45445.31,56156.84,71962.77,-8836.89,-195.68,1308.77,5800.15,1607.32,915.88,604.17,277371.76,533096.0_ADANIPOWER
Adani Total Gas,542066.0,ATGL,Miscellaneous,889.05,955.13,155.89,-752.28,-77.73,125.12,12.04,456.11,-322.52,852.85,-1166.59,294.65,-19.09,31.13,371.84,-384.89,-286.87,-34.67,,2540.09,3685.99,4318.95,,,-4479.98,-4283.34,-3051.85,10.87,159.76,,97778.62,542066.0_ATGL
Adani Wilmar,543458.0,AWL,Solvent Extraction,333.85,288.92,-641.21,138.24,-563.39,-136.23,394.83,2809.58,-10.77,663.3,523.52,-919.06,267.76,127.07,3724.08,11.26,426.9,,,2150.08,3657.85,,,,,-4114.53,-3124.35,1188.46,1215.46,,43389.78,543458.0_AWL
Adarsh Plant,526711.0,__NA__,Packaging,35.98,0.51,0.48,-0.02,-0.34,0.14,0.09,0.23,0.9,1.04,-0.15,-0.86,0.04,0.05,0.09,2.07,1.99,1.69,3.8,2.42,2.34,2.12,4.55,-0.65,-0.39,-0.33,-0.35,0.06,0.13,0.1,35.65,526711.0___NA__
ADC India,523411.0,__NA__,Telecommunications - Equipment,2098.0,19.43,19.43,1.41,-1.83,19.01,25.58,44.77,-4.24,-4.24,0.71,-6.41,-9.94,35.51,25.76,23.2,31.48,36.26,49.12,23.2,31.06,36.35,49.44,12.46,6.97,4.16,2.67,28.1,22.7,29.59,965.08,523411.0___NA__
Adcon Capital,539506.0,__NA__,Finance & Investments,0.86,-1.7,-1.7,0.04,1.51,-0.14,0.22,0.07,-26.39,-26.39,-0.7,26.63,-0.46,0.68,0.22,-27.83,-27.87,-29.33,-29.06,-27.83,-27.87,-29.33,-29.05,0.93,1.22,-0.25,-0.3,0.06,0.05,0.04,17.05,539506.0___NA__
Add-Shop E-Reta.,541865.0,__NA__,Trading,15.58,-28.66,-28.77,18.61,10.77,0.72,0.43,1.15,-44.84,-44.75,-0.92,45.01,-0.66,1.09,0.43,-67.68,-71.58,-77.29,,-64.7,-66.68,-69.11,,,9.48,13.0,14.91,0.52,0.24,0.13,44.11,541865.0___NA__
Addi Industries,507852.0,__NA__,Textiles - Products,50.07,-8.75,-8.86,10.26,-1.42,0.1,0.17,57.42,13.15,-4.38,4.4,-0.05,-0.04,0.21,62.32,38.96,43.84,42.32,,-20.98,-10.08,-11.75,,,13.4,11.57,22.63,8.86,4.67,,54.06,507852.0___NA__
Addictive Learn,-1.0,LAWSIKHO,Miscellaneous,307.3,18.21,-3.51,-29.32,58.91,47.8,1.71,1.71,1.23,1.39,-0.15,0.16,1.4,0.3,1.71,-2.64,-2.24,,,19.39,19.87,,,,,-29.57,-29.49,0.44,,,488.91,-1.0_LAWSIKHO
Adeshwar Meditex,543309.0,__NA__,Healthcare,27.0,3.84,3.84,-0.22,-4.36,-0.75,1.9,1.9,4.73,5.93,-1.16,-4.78,-0.02,1.92,1.9,4.96,6.62,,,7.33,9.49,,,,,-1.67,-2.54,1.07,1.2,,38.96,543309.0___NA__
ADF Foods,519183.0,ADFFOODS,Food - Processing - Indian,242.2,69.84,54.53,16.39,-63.41,22.81,39.88,67.78,23.97,50.52,-60.07,-4.82,-14.36,54.24,63.49,78.11,131.12,165.9,188.34,154.45,221.02,264.91,302.91,-126.44,-140.89,-143.77,-96.36,64.7,18.41,13.67,2660.89,519183.0_ADFFOODS
Adhbhut Infra.,539189.0,__NA__,Construction,29.07,0.31,0.31,0.02,0.0,0.33,0.11,0.44,0.05,0.05,0.0,0.0,0.04,0.07,0.11,0.37,0.49,-0.54,8.06,0.37,0.49,-0.54,8.06,-9.29,0.02,0.02,0.02,0.06,0.04,1.06,31.98,539189.0___NA__
Adinath Exim Res,532056.0,__NA__,Finance & Investments,23.88,-0.11,-0.11,0.13,0.0,0.02,0.0,0.02,0.53,0.53,-0.89,0.0,-0.36,0.36,0.0,0.37,-5.74,-4.88,-3.93,0.37,-5.34,-4.48,-3.51,11.18,8.5,5.34,-0.36,0.01,0.02,0.02,10.31,532056.0___NA__
Adinath Textiles,514113.0,__NA__,Textiles - Spinning - Synthetic / Blended,25.92,-1.48,-1.49,1.58,-0.04,0.06,0.16,0.21,-1.04,-1.04,1.01,-0.45,-0.48,0.64,0.16,-3.85,-5.8,-8.55,-9.32,-3.82,-6.03,-8.44,-8.98,11.52,8.36,6.35,3.96,0.56,0.53,1.27,17.66,514113.0___NA__
Adit.Birla Money,532974.0,BIRLAMONEY,Finance & Investments,164.8,-443.78,-452.06,-4.1,402.5,-45.38,62.49,889.51,-83.94,-76.51,-3.76,106.05,25.78,36.7,564.8,-821.72,-723.52,-1043.72,-1044.57,-804.34,-702.72,-1018.72,-1011.87,-19.7,-4.96,-6.43,-7.54,405.13,241.19,74.1,931.27,532974.0_BIRLAMONEY
Aditya AMC,543374.0,ABSLAMC,Finance & Investments,648.0,684.84,654.76,-510.74,-168.61,5.49,33.61,84.82,418.7,437.35,-134.31,-334.67,-31.64,65.25,126.63,1620.65,2603.05,3227.95,,1685.37,2694.63,3355.99,,,-1356.28,-1349.44,-943.54,56.84,38.5,25.91,18668.84,543374.0_ABSLAMC
Aditya Bir. Fas.,535755.0,ABFRL,Textiles - Products,318.8,1341.4,600.27,-2991.63,1411.57,-238.66,692.69,462.39,-34.58,636.2,-387.23,325.5,574.47,118.22,701.06,1197.74,2474.77,,,2928.11,4675.95,,,,,-5337.79,-3931.68,261.75,57.41,,32393.32,535755.0_ABFRL
Aditya Birla Cap,540691.0,ABCAPITAL,Finance & Investments,240.0,-24100.5,-24498.67,-4590.29,28514.3,-176.49,1730.79,3579.01,-24268.34,-24028.59,-2674.68,26385.21,-318.06,2048.85,2315.86,-54013.66,-49981.23,-72443.49,-88875.88,-53198.6,-48863.66,-71013.17,-87280.19,-12264.66,-10003.88,-9350.99,-8710.52,3179.14,1085.95,803.7,62449.87,540691.0_ABCAPITAL
Aditya Consumer,540146.0,__NA__,Trading,83.5,5.66,4.74,-0.31,-4.86,0.49,8.86,8.86,5.85,9.45,-3.3,1.23,7.38,1.48,8.86,14.71,14.72,15.19,8.84,21.8,26.65,34.13,36.99,-26.38,-17.53,-10.75,-6.11,1.47,3.54,1.81,122.19,540146.0___NA__
Aditya Ispat,513513.0,__NA__,Steel - Medium / Small,10.5,5.19,5.76,0.59,-5.81,-0.03,0.14,0.16,2.2,3.01,-0.8,-2.13,0.08,0.06,0.19,1.44,-5.94,-7.11,-6.73,5.08,10.67,14.83,17.19,-23.7,-21.82,-16.53,-3.6,0.07,0.35,0.25,5.61,513513.0___NA__
Aditya Spinners,521141.0,__NA__,Textiles - Spinning - Synthetic / Blended,20.2,8.83,7.99,-0.73,-8.09,0.0,0.05,0.14,-0.13,5.68,-5.71,0.05,0.02,0.03,0.14,7.89,9.04,10.75,1.54,20.52,28.59,35.93,43.2,-41.48,-23.29,-18.8,-12.42,0.15,0.07,0.08,33.82,521141.0___NA__
Aditya Vision,540205.0,__NA__,Trading,4499.9,-6.12,-39.5,-48.21,68.36,14.03,3.52,96.16,-12.26,17.61,-84.18,68.72,2.15,1.37,3.52,-38.3,-40.33,-37.26,-32.39,43.01,85.32,97.56,111.24,-211.73,-203.24,-195.0,-155.69,22.25,14.25,12.04,5789.69,540205.0___NA__
Adjia Tech,543269.0,__NA__,Computers - Software - Medium / Small,45.49,0.01,0.01,0.0,0.0,0.01,0.07,0.07,0.01,0.01,0.0,0.0,0.01,0.07,0.07,-0.01,-1.97,,,0.51,-0.73,,,,,-1.24,-0.52,0.1,0.0,0.0,4.0,543269.0___NA__
Adline Chem Lab,524604.0,__NA__,Pharmaceuticals - Indian - Formulations,13.12,-0.02,-0.02,0.0,0.0,-0.02,0.06,0.04,0.01,0.01,0.0,0.0,0.01,0.05,0.06,0.2,-0.07,-0.94,-3.11,0.2,-11.43,-11.49,-7.81,4.88,10.71,11.36,0.0,-0.16,0.17,0.13,7.68,524604.0___NA__
Ador Fontech,530431.0,__NA__,Electrodes - Welding Equipment,144.0,19.33,18.08,-1.53,-17.5,0.3,1.55,45.83,14.8,18.21,-2.09,-14.14,1.98,0.72,42.53,50.42,62.79,65.75,75.67,57.06,85.87,93.87,114.49,-27.36,-26.9,-26.77,-14.73,27.05,25.99,24.96,504.01,530431.0___NA__
Ador Multi Prod.,523120.0,__NA__,Personal Care - Indian,34.45,-0.54,-0.52,1.65,-0.03,1.08,-2.02,0.07,-6.87,-6.76,0.19,0.36,-6.2,4.18,0.06,-17.49,-27.83,-29.17,,-15.92,-26.66,-30.74,,,9.05,8.31,0.94,1.02,0.61,0.51,16.1,523120.0___NA__
Ador Welding,517041.0,ADORWELD,Electrodes - Welding Equipment,1405.0,34.5,-6.09,-36.89,-1.73,-4.12,5.95,2.74,0.15,13.67,-9.66,-4.67,-0.66,6.61,6.89,21.65,83.7,82.01,68.41,74.56,166.53,192.62,215.94,-121.89,-98.79,-79.95,-52.0,18.0,28.0,21.53,1910.8,517041.0_ADORWELD
Adroit Info.,532172.0,ADROITINFO,Computers - Software - Medium / Small,18.42,-1.72,-2.27,-9.98,12.2,0.5,1.17,1.66,-7.66,5.93,-13.86,9.04,1.1,0.07,1.17,-10.35,-10.23,-7.08,2.98,4.87,3.11,15.94,29.39,-39.82,-33.13,-23.21,-24.96,0.03,0.03,7.26,39.92,532172.0_ADROITINFO
Advait Infratech,543230.0,__NA__,Construction,1695.0,-10.4,-19.4,-8.22,43.6,24.98,17.99,42.97,6.18,12.08,-5.58,1.97,8.47,10.49,18.96,-15.79,-15.49,,,13.28,14.27,,,,,-27.04,-27.44,14.17,6.57,,1730.21,543230.0___NA__
Advance Lifes.,521048.0,__NA__,Textiles - Jute - Yarn / Products,45.99,-0.8,-0.8,0.45,0.25,-0.1,0.13,0.03,0.83,0.83,0.0,-0.4,0.43,0.02,0.13,0.36,-3.37,-1.72,-3.19,0.36,-3.37,-1.72,-3.27,27.66,15.37,0.45,0.45,0.02,0.03,17.4,28.63,521048.0___NA__
Advance Meter.,534612.0,__NA__,Electric Equipment,38.49,0.28,-1.94,-4.82,2.3,-2.24,2.97,15.16,-9.78,8.35,2.15,-12.9,-2.4,5.37,30.73,0.3,1.7,-15.83,-30.18,11.95,20.33,21.83,14.19,65.32,54.18,73.79,63.87,56.29,11.2,15.91,61.81,534612.0___NA__
Advance Petroch.,506947.0,__NA__,Chemicals,288.0,1.1,0.07,-1.01,0.08,0.17,0.47,0.64,0.57,3.34,-2.76,-0.54,0.04,0.44,0.47,1.19,1.84,3.59,5.09,6.24,8.1,10.0,12.55,-7.65,-6.43,-6.13,-4.99,0.38,0.4,0.16,25.92,506947.0___NA__
Advance Syntex,539982.0,__NA__,Textiles - Spinning - Synthetic / Blended,7.3,7.09,7.2,0.11,-7.29,-0.08,0.16,0.07,5.33,2.3,3.04,-6.4,-1.06,1.22,0.16,8.09,11.91,10.76,7.21,4.14,8.91,15.33,18.89,-10.4,-3.75,3.45,4.03,2.04,2.13,2.12,8.1,539982.0___NA__
Advanced Enzyme,540025.0,ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,378.65,141.37,99.17,-64.65,-59.24,17.48,96.42,143.5,102.43,140.36,-285.5,-25.8,-170.94,267.36,123.35,297.01,531.0,752.46,979.02,404.02,707.89,952.44,1206.92,-687.4,-602.41,-418.57,-348.5,197.77,23.41,7.87,4234.25,540025.0_ADVENZYMES
Advani Hotels.,523269.0,ADVANIHOTR,Hotels,70.83,29.23,25.17,-12.84,-16.51,-0.12,3.08,29.05,23.57,25.95,-8.53,-15.4,2.03,1.06,3.6,61.34,75.35,97.09,128.98,68.23,84.01,110.81,147.03,-55.77,-51.08,-28.17,-34.52,2.76,0.76,3.21,654.73,523269.0_ADVANIHOTR
Advik Capital,539773.0,__NA__,Finance & Investments,2.58,-52.12,-53.51,6.81,44.96,-0.35,1.43,1.09,-88.39,-88.36,-26.57,116.1,1.17,0.26,1.44,-143.59,-145.33,-144.04,-147.98,-142.16,-143.48,-142.01,-145.2,-19.07,-22.07,-20.26,-19.78,0.11,0.03,0.36,110.47,539773.0___NA__
Aegis Logistics,500003.0,AEGISLOG,Trading,873.85,655.53,41.96,-712.18,256.43,199.79,832.51,1774.63,-179.48,358.41,-931.04,1310.94,738.31,94.2,1265.11,-250.62,-192.19,102.36,178.17,1293.99,1881.85,2629.61,3067.33,-3121.68,-2852.58,-2401.73,-1822.34,335.63,412.92,62.28,30672.14,500003.0_AEGISLOG
Aeonx Digital,524594.0,__NA__,Trading,135.0,-3.51,-0.32,6.31,1.87,4.66,6.09,11.02,0.06,0.34,5.87,-1.6,4.61,1.48,6.45,-0.4,8.37,11.65,,-2.42,2.77,7.76,,,5.76,7.47,3.89,7.85,2.85,3.06,62.1,524594.0___NA__
Aeroflex,543972.0,AEROFLEX,Steel - Medium / Small,162.5,43.91,6.22,-34.9,90.3,99.3,6.18,105.49,-2.2,7.26,-9.55,0.16,-2.13,8.31,6.18,22.86,43.61,39.55,,83.39,108.26,105.69,,,-63.54,-62.05,-57.83,3.42,2.67,,2101.48,543972.0_AEROFLEX
Aerpace Indus,534733.0,__NA__,Trading,30.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.46,534733.0___NA__
Aether Industri.,543534.0,AETHER,Chemicals,922.75,-16.46,-444.21,-423.93,893.76,453.37,102.29,555.65,-363.21,-6.56,-348.36,439.2,84.27,18.02,102.29,-964.6,,,,-28.46,,,,,,,-923.23,,,,12231.07,543534.0_AETHER
Affle India,542752.0,AFFLE,Computers - Software - Medium / Small,1354.6,262.28,146.66,-577.29,783.19,468.18,332.01,1236.55,168.13,260.3,-185.56,-59.05,15.7,316.32,645.71,448.23,541.53,606.9,,728.56,902.2,991.86,,,-1732.35,-1653.52,-1316.64,63.25,30.49,,18992.72,542752.0_AFFLE
Affordable Robo.,541402.0,__NA__,Engineering,559.0,-2.01,-3.84,-39.58,42.77,1.18,2.04,2.04,1.45,3.26,-1.88,-1.6,-0.22,2.26,2.04,-2.63,-2.66,-31.5,,2.87,10.19,1.34,,,-72.21,-51.15,-44.91,2.35,3.03,1.74,628.65,541402.0___NA__
AFLOAT Enterpris,543377.0,__NA__,Trading,12.0,-0.39,-0.39,0.38,0.0,-0.01,0.03,0.03,-0.64,-0.64,0.63,0.0,-0.01,0.05,0.03,-4.06,-2.38,,,-4.05,-2.3,,,,,-2.69,1.43,0.64,0.03,,5.47,543377.0___NA__
Agarwal Float,-1.0,AGARWALFT,Trading,65.15,-0.81,-0.94,-0.11,0.98,0.06,0.66,0.66,-5.02,-4.99,-0.02,5.27,0.26,0.4,0.66,-4.56,-13.59,,,-4.36,-12.87,,,,,-0.68,-0.16,0.01,,,47.19,-1.0_AGARWALFT
Agarwal Fortune,530765.0,__NA__,Trading,23.25,-0.12,-0.12,0.0,-0.08,-0.2,0.24,0.04,-0.15,-0.14,-0.01,0.11,-0.04,0.28,0.24,-0.71,-1.23,-1.31,-1.53,-0.7,-1.22,-1.3,-1.52,3.43,3.31,2.23,1.23,0.01,0.0,0.03,8.16,530765.0___NA__
Agarwal Indl.,531921.0,AGARIND,Petrochemicals,1170.95,112.28,-157.72,-276.42,177.53,13.4,29.31,62.29,9.44,156.67,-158.32,-15.42,-17.07,46.38,33.53,-148.28,-151.95,-135.73,-164.35,333.63,432.57,470.6,473.57,-662.46,-625.15,-601.54,-503.97,32.31,3.45,5.9,1751.48,531921.0_AGARIND
AGI Greenpac,500187.0,AGI,Packaging,703.9,588.39,320.22,-351.65,-234.65,2.09,230.18,360.95,243.46,522.52,221.96,-554.07,190.41,39.77,279.25,283.11,519.45,245.02,640.41,1291.67,1747.19,2054.54,2835.52,-1663.83,-1170.61,-700.0,-477.53,23.41,39.34,143.82,4554.07,500187.0_AGI
AGI Infra,539042.0,__NA__,Construction,853.95,61.46,27.58,-88.08,81.43,54.82,45.48,100.3,83.96,66.62,-53.97,1.48,14.14,31.35,45.48,179.26,260.12,238.93,,234.46,328.14,327.36,,,-267.27,-230.84,-218.31,16.94,10.9,4.12,1043.27,539042.0___NA__
Agio Paper,516020.0,__NA__,Paper,4.3,-0.14,-0.14,0.0,0.21,0.07,0.01,0.1,-0.52,-0.52,0.0,0.48,-0.04,0.04,0.03,-1.18,-2.33,2.8,0.28,-1.18,-2.33,-3.89,-6.43,6.98,6.71,0.0,0.0,0.04,0.06,0.08,6.94,516020.0___NA__
Agni Green,-1.0,AGNI,Electric Equipment,52.35,-0.02,-0.34,-0.15,-2.51,-2.68,2.68,2.68,-1.42,-1.4,0.11,1.23,-0.06,2.75,2.68,0.26,-1.76,,,0.63,-1.34,,,,,-0.34,0.05,0.88,4.47,1.91,102.26,-1.0_AGNI
Agri-Tech India,537292.0,AGRITECH,Miscellaneous,198.15,-10.66,-10.36,19.44,-8.47,0.3,0.33,0.63,-1.03,-1.55,-3.06,4.93,0.32,0.0,0.33,-30.29,-41.97,-55.73,-31.14,-31.16,-42.27,-76.95,-72.76,80.98,80.39,45.66,48.5,0.05,0.06,0.01,117.71,537292.0_AGRITECH
Agro Phos India,-1.0,AGROPHOS,Fertilizers,47.47,2.82,1.49,-1.57,-1.29,-0.04,0.14,0.7,-10.89,-6.48,-6.69,12.2,-0.97,1.1,2.81,-2.88,6.06,7.4,0.18,10.23,22.38,24.45,18.15,-19.15,-15.88,-20.47,-17.93,1.01,1.04,3.42,96.24,-1.0_AGROPHOS
Agro Tech Foods.,500215.0,ATFL,Food - Processing - Indian,726.5,62.61,25.71,-37.32,-18.93,6.36,6.72,14.12,-18.88,22.38,-43.04,21.96,1.31,5.42,7.17,-52.95,-66.64,-20.35,2.18,55.26,160.51,252.17,374.07,-351.15,-251.89,-176.65,-91.12,12.07,4.86,4.36,1770.45,500215.0_ATFL
AGS Transact,543451.0,AGSTRA,Computers - Hardware,80.09,349.23,300.82,-15.17,-315.58,18.48,15.77,116.22,141.16,249.26,-126.18,-137.32,-14.24,30.02,94.01,683.26,1204.12,1568.89,,923.03,1786.62,2468.32,,,-927.12,-600.43,-153.43,694.21,38.11,21.06,979.13,543451.0_AGSTRA
Ahasolar Technol,543941.0,__NA__,Trading,331.0,-1.42,-2.86,-7.77,11.69,2.5,0.44,0.48,-0.72,-0.27,-0.44,0.92,0.21,0.23,0.48,-3.91,-4.04,,,-1.48,-1.58,,,,,-8.77,-8.74,0.12,0.0,,102.03,543941.0___NA__
Ahimsa Industrie,-1.0,AHIMSA,Plastics Products,18.9,1.19,1.18,-0.24,-0.94,0.01,0.2,0.2,0.93,0.75,-0.05,-1.07,-0.37,0.57,0.2,4.21,7.24,10.21,9.95,4.37,7.79,13.12,18.12,-14.78,-6.52,-2.29,-0.96,2.38,1.09,1.66,10.35,-1.0_AHIMSA
Ahlada Engineers,-1.0,AHLADA,Steel - Medium / Small,116.6,-0.2,-3.92,-3.65,4.04,0.19,0.01,2.49,3.92,8.16,-3.92,-4.26,-0.02,0.02,1.75,35.48,42.58,-14.49,,44.64,102.25,111.44,,,-136.11,-65.62,-8.91,5.5,1.42,1.59,150.67,-1.0_AHLADA
Ahluwalia Contr.,532811.0,AHLUCONT,Construction,1243.1,257.45,144.63,-309.61,20.72,-31.44,365.94,780.34,197.91,301.31,-165.75,-16.05,119.51,246.44,588.07,381.39,678.56,798.46,1031.2,624.51,993.22,1159.93,1455.9,-745.11,-732.24,-669.8,-576.05,417.63,209.26,122.56,8327.21,532811.0_AHLUCONT
Ahm. Steelcraft,522273.0,__NA__,Trading,105.3,-0.43,4.62,3.55,-0.02,3.1,0.15,4.88,-1.88,-1.9,1.89,-0.01,-0.02,0.17,1.8,1.73,-1.63,-7.32,-9.14,-3.38,-5.72,-10.34,-11.7,14.37,13.99,8.21,6.12,0.37,2.38,1.72,43.07,522273.0___NA__
AI Champ.Inds.,532806.0,__NA__,Textiles - Jute - Yarn / Products,56.9,-29.07,-29.2,16.21,12.96,0.09,0.1,0.62,52.96,-12.66,69.3,-56.82,-0.18,0.28,5.19,27.07,8.39,30.61,44.38,-42.47,-52.56,-22.7,-12.8,148.24,143.9,97.27,105.4,0.49,0.69,0.53,174.99,532806.0___NA__
AIA Engineering,532683.0,AIAENG,Castings & Forgings,4224.55,902.72,693.17,-818.51,-210.98,-126.77,307.48,553.6,675.34,867.72,-1211.95,395.0,50.77,256.71,805.99,1203.97,2227.67,2375.72,3069.29,1731.22,3008.81,3492.69,4625.29,-3671.6,-2949.41,-2590.62,-1929.15,1395.45,216.32,247.79,39846.12,532683.0_AIAENG
Aik Pipes & Poly,544072.0,__NA__,Plastics Products,129.0,-10.44,-11.94,-1.56,12.1,0.09,0.4,0.49,-2.48,-0.56,-1.92,2.43,-0.05,0.45,0.4,-15.29,-16.61,,,-11.65,-12.36,,,,,-4.33,-3.7,0.67,,,82.08,544072.0___NA__
Aimco Pesticides,524288.0,__NA__,Pesticides / Agrochemicals - Indian,100.0,7.1,0.15,-6.93,1.88,2.05,1.17,3.82,-17.45,-11.13,-2.29,10.51,-2.91,4.07,1.75,0.36,0.19,-0.4,-2.3,18.56,29.6,38.72,45.47,-47.31,-38.88,-29.22,-18.12,4.2,3.7,0.44,95.83,524288.0___NA__
Aimtron,-1.0,AIMTRON,Electronics - Components,573.0,6.71,2.74,-1.82,-1.39,3.5,0.65,0.65,-10.25,-8.43,-1.76,9.97,-0.22,0.87,0.65,-21.66,,,,6.12,,,,,,,-25.49,7.56,,,1169.71,-1.0_AIMTRON
Aion-Tech Soluti,531439.0,GOLDTECH,Computers - Software - Medium / Small,144.85,3.63,-1.23,-7.85,3.96,-0.27,0.8,20.41,-16.9,-10.61,4.35,6.26,0.01,0.79,16.43,-10.88,-11.71,-21.95,-14.13,0.68,0.14,-9.36,-0.77,-38.61,-38.69,-38.23,-38.46,2.03,5.15,15.04,500.92,531439.0_GOLDTECH
Airan,543811.0,AIRAN,Computers - Software - Medium / Small,31.98,2.77,-8.6,-9.33,-4.4,-10.95,18.95,8.0,1.39,21.81,-14.89,-1.12,5.8,13.14,18.95,0.83,-1.68,-2.08,,35.57,46.52,54.67,,,-53.09,-40.63,-31.43,1.5,2.7,12.16,399.83,543811.0_AIRAN
Airo Lam,-1.0,AIROLAM,Miscellaneous,139.7,-0.36,-12.9,-12.57,10.69,-2.24,2.56,1.77,6.84,8.66,-4.89,-4.14,-0.37,2.93,4.74,-14.82,-19.28,-26.94,-24.69,2.34,27.16,24.56,29.35,-57.93,-55.75,-49.62,-21.46,4.78,1.92,0.59,209.57,-1.0_AIROLAM
Ajanta Pharma,532331.0,AJANTPHARM,Pharmaceuticals - Indian - Formulations,2289.85,785.07,646.04,65.39,-1051.06,-200.6,329.83,130.77,618.35,792.11,-559.6,-108.2,124.31,206.36,330.9,1695.64,2340.79,2391.48,2909.37,2138.89,3171.97,3827.6,5042.46,-2304.52,-1553.98,-1075.09,-568.31,209.61,100.51,69.95,28833.28,532331.0_AJANTPHARM
Ajanta Soya,519216.0,__NA__,Miscellaneous,31.62,25.12,16.85,-16.71,-4.97,3.44,0.14,30.57,-14.53,-23.38,20.23,-1.73,-4.87,5.02,21.67,20.94,57.13,10.42,24.3,29.94,72.86,49.88,66.73,-56.6,-37.85,-43.81,-21.12,21.37,19.07,22.76,254.47,519216.0___NA__
Ajcon Global,511692.0,__NA__,Finance & Investments,33.05,-0.15,-0.23,-0.08,-0.77,-1.0,2.44,1.44,-1.18,-0.94,-0.24,1.1,-0.08,2.52,2.44,1.49,8.81,22.13,27.27,1.99,9.75,23.2,29.04,-15.61,-14.75,-0.94,-0.5,2.29,0.86,1.69,20.23,511692.0___NA__
Ajel,530713.0,__NA__,Computers - Software - Converts,15.0,-0.91,-0.92,0.41,0.57,0.07,0.23,0.3,-0.3,-0.3,0.0,0.36,0.05,0.18,0.23,-1.76,-1.71,-1.8,-2.61,-1.75,-1.7,-1.87,2.85,-5.02,0.49,0.41,0.41,0.59,0.53,0.86,17.48,530713.0___NA__
Ajmera Realty,513349.0,AJMERA,Construction,679.1,219.75,217.07,-71.75,-97.33,50.67,27.15,116.76,132.62,137.0,-46.97,-86.15,3.88,23.27,40.26,283.71,437.51,-32.1,75.43,293.14,475.99,14.51,124.98,-102.22,-97.19,-88.31,-90.18,42.68,27.69,22.3,2409.46,513349.0_AJMERA
