Name,BSE Code,NSE Code,Industry,Current Price,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Sales growth 10years median,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization,join_key
Aditya Ispat,513513.0,__NA__,Steel - Medium / Small,10.4,7.65,9.38,,,6.21,16.28,8.62,7.85,-10.4,-4.07,-2.55,2.09,,,,,,,0.0,-0.2,0.1,1.94,1.78,5.56,513513.0___NA__
Aditya Spinners,521141.0,__NA__,Textiles - Spinning - Synthetic / Blended,20.2,22.4,0.13,84.94,15.37,5.96,-6.41,2.02,4.03,24.18,7.69,6.45,11.04,84.94,15.37,15.46,5.39,15.46,5.39,0.0,2.5,1.65,3.68,3.01,33.82,521141.0___NA__
Aditya Vision,540205.0,__NA__,Trading,4520.0,32.58,25.33,55.62,67.99,31.84,31.84,25.19,30.2,44.93,58.47,65.39,57.44,52.35,71.25,74.67,-14.62,72.29,59.35,-19.87,42.18,22.34,81.19,43.76,5815.55,540205.0___NA__
Adjia Tech,543269.0,__NA__,Computers - Software - Medium / Small,45.49,14.47,,33.3,,66.67,66.67,49.25,,51.83,,,,33.3,,10.51,,,,0.0,-0.07,,-0.07,,4.0,543269.0___NA__
Adline Chem Lab,524604.0,__NA__,Pharmaceuticals - Indian - Formulations,13.12,,,23.48,,-3.95,-88.31,,,10.46,,,,23.48,,,,,,-1.85,-1.14,-0.56,-1.09,-0.37,7.68,524604.0___NA__
Ador Fontech,530431.0,__NA__,Electrodes - Welding Equipment,144.4,12.01,2.42,33.54,17.23,2.22,-1.91,5.28,4.14,20.99,12.27,13.56,4.6,33.54,17.23,18.68,7.01,18.68,7.01,-0.04,16.18,12.75,23.65,19.07,505.41,530431.0___NA__
Ador Multi Prod.,523120.0,__NA__,Personal Care - Indian,34.55,-29.66,-1.56,,,-1.79,-9.45,0.09,,,-40.8,-22.21,,,,-7.81,,,,-0.25,-4.81,,-4.4,,16.15,523120.0___NA__
Ador Welding,517041.0,ADORWELD,Electrodes - Welding Equipment,1411.7,25.49,11.53,60.55,21.45,5.23,13.78,10.43,9.15,51.74,13.35,14.26,9.76,60.55,21.45,19.53,22.39,19.53,22.39,0.01,40.47,30.04,57.38,45.2,1919.91,517041.0_ADORWELD
Adroit Info.,532172.0,ADROITINFO,Computers - Software - Medium / Small,18.22,59.04,9.61,29.23,37.49,-4.55,3.07,-10.24,90.26,27.28,76.79,-16.23,60.72,108.27,34.83,-23.01,33.61,-20.98,36.22,-13.72,1.84,3.65,2.28,4.46,39.49,532172.0_ADROITINFO
Advait Infratech,543230.0,__NA__,Construction,1690.0,47.03,49.42,69.92,57.47,47.6,47.6,,,81.54,54.58,,,69.92,48.07,,,,,0.01,8.05,,13.71,,1725.1,543230.0___NA__
Advance Lifes.,521048.0,__NA__,Textiles - Jute - Yarn / Products,45.99,,,58.06,16.91,-100.0,-100.0,,,119.52,-9.83,27.05,-6.42,57.95,16.9,15.26,16.29,15.33,16.32,0.0,-0.61,-0.53,-0.4,1.43,28.63,521048.0___NA__
Advance Meter.,534612.0,__NA__,Electric Equipment,37.71,1.82,-28.34,20.71,,8.82,-10.36,-9.21,0.97,-11.33,-21.84,3.35,11.22,20.71,,8.07,6.29,8.07,6.29,0.0,-7.73,-7.69,-3.62,-2.78,60.56,534612.0___NA__
Advance Petroch.,506947.0,__NA__,Chemicals,288.0,26.36,10.57,-6.6,14.87,-5.12,25.47,21.8,10.87,13.29,12.05,11.01,10.13,-6.6,14.87,13.62,6.25,13.62,6.25,-5.75,0.37,0.22,1.28,1.0,25.92,506947.0___NA__
Advance Syntex,539982.0,__NA__,Textiles - Spinning - Synthetic / Blended,7.3,-73.77,-60.57,13.46,,-18.49,-34.2,-47.32,-32.13,,,,,13.46,,,,,,0.0,-1.76,-0.18,0.27,3.35,8.1,539982.0___NA__
Advanced Enzyme,540025.0,ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,380.05,7.53,8.26,-0.41,5.24,7.31,5.82,9.57,10.08,0.06,5.04,6.59,16.84,-0.44,5.21,6.62,21.38,6.65,21.71,-11.89,128.87,106.56,184.53,159.26,4249.89,540025.0_ADVENZYMES
Advani Hotels.,523269.0,ADVANIHOTR,Hotels,71.07,56.56,8.45,100.0,17.03,9.53,6.87,8.48,10.24,171.09,15.92,10.49,15.68,99.98,17.02,15.81,26.28,15.82,26.28,0.08,13.41,10.62,17.94,14.93,656.95,523269.0_ADVANIHOTR
Advik Capital,539773.0,__NA__,Finance & Investments,2.58,411.88,184.05,398.22,121.24,38.94,64.76,97.59,78.41,224.34,103.4,60.57,55.23,398.23,121.24,90.37,62.3,90.44,62.35,-37.27,3.27,1.67,6.76,3.5,110.47,539773.0___NA__
Aegis Logistics,500003.0,AEGISLOG,Trading,878.85,22.39,4.64,35.99,20.47,17.22,20.49,8.7,3.43,37.38,23.76,26.76,24.73,35.99,19.28,23.91,24.2,24.79,24.82,0.36,339.4,243.09,554.8,382.98,30847.66,500003.0_AEGISLOG
Aeonx Digital,524594.0,__NA__,Trading,135.0,19.67,-27.52,-17.63,21.67,-2.18,-14.19,-19.8,,-7.11,141.41,-9.59,,-17.63,21.67,-7.82,,-7.82,,-0.03,-0.47,,-0.12,,62.1,524594.0___NA__
Aeroflex,543972.0,AEROFLEX,Steel - Medium / Small,162.45,29.98,17.02,79.34,42.61,11.87,11.87,,,42.72,22.88,,,0.66,0.84,,,,,,23.4,,37.77,,2100.83,543972.0_AEROFLEX
Aerpace Indus,534733.0,__NA__,Trading,30.31,,,,,,,,,,,,,,,,,,,8.87,,,,,414.26,534733.0___NA__
Aether Industri.,543534.0,AETHER,Chemicals,919.9,,,,,-8.13,-8.13,,,,,,,,,,,,,,,,,,12193.3,543534.0_AETHER
Affle India,542752.0,AFFLE,Computers - Software - Medium / Small,1364.4,52.78,49.18,30.16,43.52,33.83,33.83,,,34.57,42.62,,,26.1,39.44,,,,,-5.68,191.21,,224.55,,19130.14,542752.0_AFFLE
Affordable Robo.,541402.0,__NA__,Engineering,559.0,38.85,12.76,56.66,1.16,24.37,34.22,19.08,20.03,128.29,0.96,5.07,24.3,56.56,1.08,-21.63,-14.87,5.55,22.31,-5.84,2.5,2.94,6.39,6.42,628.65,541402.0___NA__
AFLOAT Enterpris,543377.0,__NA__,Trading,12.0,-44.87,129.02,,8.45,-37.46,-37.46,,,65.1,24.57,,,42.62,-68.12,,,,,,0.02,,0.06,,5.47,543377.0___NA__
Agarwal Float,-1.0,AGARWALFT,Trading,65.15,35.63,,-8.74,,14.47,14.47,,,0.65,,,,-40.36,,,,,,,0.81,,2.3,,47.19,-1.0_AGARWALFT
Agarwal Fortune,530765.0,__NA__,Trading,23.0,334.45,,37.3,-31.84,-40.0,-100.0,119.56,57.22,54.2,-33.69,15.33,14.87,37.3,-31.84,15.04,13.11,15.04,13.11,1.98,-0.18,-0.08,-0.12,-0.04,8.07,530765.0___NA__
Agarwal Indl.,531921.0,AGARIND,Petrochemicals,1167.0,32.97,31.94,39.48,52.03,26.08,26.08,32.46,27.9,34.78,36.21,30.76,28.59,23.0,40.98,35.25,22.95,42.94,35.85,-2.13,65.78,37.44,91.12,55.9,1745.57,531921.0_AGARIND
AGI Greenpac,500187.0,AGI,Packaging,705.0,24.32,8.57,42.09,83.32,6.4,13.48,2.25,3.55,28.14,23.15,10.27,8.06,42.09,87.44,15.1,16.41,13.29,16.17,0.0,167.82,125.61,264.7,220.28,4561.18,500187.0_AGI
AGI Infra,539042.0,__NA__,Construction,842.0,38.42,29.39,45.47,41.2,21.11,21.56,10.45,,34.14,28.43,25.65,,45.47,36.24,35.44,,38.95,,0.0,33.68,,48.4,,1028.66,539042.0___NA__
Agio Paper,516020.0,__NA__,Paper,4.3,,,3.69,7.21,,,,,22.78,14.2,9.92,6.47,3.69,7.21,4.2,6.13,4.2,6.13,0.0,-1.32,-1.0,-0.56,-0.48,6.94,516020.0___NA__
Agni Green,-1.0,AGNI,Electric Equipment,52.35,0.8,2.46,51.17,-29.23,42.99,42.99,-0.61,,-0.41,-9.98,2.97,,8.1,-42.13,-54.78,,-14.74,,,-0.14,,1.3,,102.26,-1.0_AGNI
Agri-Tech India,537292.0,AGRITECH,Miscellaneous,198.15,-5.57,-1.21,159.43,62.6,6.25,-17.86,21.9,8.62,346.02,82.81,56.72,45.55,159.43,62.6,49.87,37.78,49.87,37.78,-14.37,1.54,0.43,1.92,0.67,117.71,537292.0_AGRITECH
Agro Phos India,-1.0,AGROPHOS,Fertilizers,47.42,21.33,11.23,,,5.55,12.89,7.55,5.59,,,,,,,,,,,0.0,2.45,2.82,5.18,5.78,96.13,-1.0_AGROPHOS
Agro Tech Foods.,500215.0,ATFL,Food - Processing - Indian,726.5,-5.23,-1.6,-35.16,-23.65,1.43,1.43,-0.82,-0.06,-17.25,-11.59,-7.49,-6.54,-35.16,-23.65,-14.3,-14.95,-14.3,-14.95,0.0,21.9,25.86,31.19,38.57,1770.45,500215.0_ATFL
AGS Transact,543451.0,AGSTRA,Computers - Hardware,80.09,-5.79,-4.02,,,-0.29,-2.3,1.69,,-20.82,-12.04,4.74,,,,,,,,,3.24,,175.71,,979.13,543451.0_AGSTRA
Ahasolar Technol,543941.0,__NA__,Trading,331.0,181.73,197.63,-20.63,31.95,101.44,101.44,,,48.47,,,,-88.25,-58.06,,,,,,0.51,,0.57,,102.03,543941.0___NA__
Ahimsa Industrie,-1.0,AHIMSA,Plastics Products,18.9,-12.81,-17.4,,,-7.58,-16.89,-18.18,-3.78,-68.82,-53.16,-47.06,-31.81,,,,,,,0.33,-0.43,0.13,-0.04,0.98,10.35,-1.0_AHIMSA
Ahlada Engineers,-1.0,AHLADA,Steel - Medium / Small,116.0,17.75,4.63,10.23,3.8,6.55,4.07,11.87,,7.35,1.6,16.74,,10.23,3.8,5.08,,22.65,,0.14,8.35,,16.62,,149.89,-1.0_AHLADA
Ahluwalia Contr.,532811.0,AHLUCONT,Construction,1242.4,24.83,17.05,44.3,14.64,10.34,7.42,15.26,14.91,33.95,13.43,12.91,24.31,44.3,14.64,15.24,54.51,15.24,55.49,-2.68,144.47,118.94,236.27,199.66,8322.53,532811.0_AHLUCONT
Ahm. Steelcraft,522273.0,__NA__,Trading,103.24,-26.51,-40.46,,,-31.39,-64.43,-21.44,-23.91,,,,,,,,,,,2.21,-0.93,-0.46,-0.94,-0.46,42.23,522273.0___NA__
AI Champ.Inds.,532806.0,__NA__,Textiles - Jute - Yarn / Products,57.3,-12.62,-19.61,,,-10.14,-9.12,-11.67,-18.33,,,,,,,,,,,0.0,-19.8,-11.93,-16.1,-4.84,176.22,532806.0___NA__
AIA Engineering,532683.0,AIAENG,Castings & Forgings,4224.1,18.98,9.6,28.12,18.81,4.96,-1.12,11.64,8.85,26.6,16.86,11.9,11.8,28.12,18.81,14.06,12.8,14.06,12.8,0.0,780.84,611.26,1015.67,817.58,39841.88,532683.0_AIAENG
Aik Pipes & Poly,544072.0,__NA__,Plastics Products,127.0,54.63,,135.83,,49.27,49.27,,,107.86,,,,-6.23,,,,,,,1.31,,1.87,,80.81,544072.0___NA__
Aimco Pesticides,524288.0,__NA__,Pesticides / Agrochemicals - Indian,99.3,5.69,1.01,,,0.59,-5.16,11.22,4.03,,,,,,,,,,,2.15,1.41,3.73,4.72,6.18,95.16,524288.0___NA__
Aimtron,-1.0,AIMTRON,Electronics - Components,573.0,20.77,,-3.98,,29.9,29.9,,,4.72,,,,-65.7,,,,,,,,,,,1169.71,-1.0_AIMTRON
Aion-Tech Soluti,531439.0,GOLDTECH,Computers - Software - Medium / Small,144.9,23.1,17.56,,,0.34,16.96,14.05,2.39,32.91,5.66,18.08,-18.58,,-8.13,,,,,35.07,-0.38,-0.56,0.62,-0.02,501.09,531439.0_GOLDTECH
Airan,543811.0,AIRAN,Computers - Software - Medium / Small,31.42,16.75,16.8,32.69,29.54,18.85,14.94,20.34,,23.43,16.15,23.9,,32.69,29.54,10.85,,39.51,,-2.58,8.34,,11.4,,392.82,543811.0_AIRAN
Airo Lam,-1.0,AIROLAM,Miscellaneous,143.96,15.66,13.12,14.94,14.4,10.66,18.15,16.59,12.45,19.37,15.86,16.7,13.65,14.94,14.4,7.02,7.46,23.52,18.8,0.79,6.53,4.53,12.35,9.26,215.97,-1.0_AIROLAM
Ajanta Pharma,532331.0,AJANTPHARM,Pharmaceuticals - Indian - Formulations,2285.15,13.35,15.41,7.45,15.85,12.45,12.45,11.35,13.29,6.85,16.21,8.26,12.53,8.55,16.76,7.52,13.72,6.8,13.2,-4.13,647.43,533.42,874.83,720.08,28774.1,532331.0_AJANTPHARM
Ajanta Soya,519216.0,__NA__,Miscellaneous,31.65,3.15,8.03,-45.42,27.62,9.43,9.43,5.56,8.01,-34.75,30.54,-0.04,10.1,-45.42,27.62,-6.77,13.23,-6.27,13.66,0.44,16.1,9.17,24.4,14.96,254.71,519216.0___NA__
Ajcon Global,511692.0,__NA__,Finance & Investments,33.7,-30.56,-13.49,24.36,110.84,-4.0,-13.25,8.24,7.36,12.95,3.46,-0.98,-3.37,24.36,110.84,12.41,15.73,12.41,15.73,-0.74,0.61,0.45,1.7,2.2,20.63,511692.0___NA__
Ajel,530713.0,__NA__,Computers - Software - Converts,15.0,24.19,3.94,19.75,13.25,-21.69,-18.35,-12.15,-17.88,23.31,8.45,,,19.75,13.25,-1.24,,-1.24,,0.61,-0.44,-0.57,-0.41,-0.42,17.48,530713.0___NA__
Ajmera Realty,513349.0,AJMERA,Construction,679.35,26.39,12.9,50.48,6.45,3.22,0.68,14.13,24.47,27.66,7.35,8.06,20.47,50.48,6.45,6.73,20.36,6.73,20.36,4.46,56.57,57.37,133.65,122.48,2410.34,513349.0_AJMERA
Ajooni Biotech,-1.0,AJOONI,Food - Processing - Indian,5.42,16.38,15.1,80.06,39.42,26.95,7.56,15.89,63.98,38.71,34.14,29.64,83.92,87.08,32.22,-14.16,21.31,33.89,71.18,-24.75,1.02,0.63,1.91,1.18,93.34,-1.0_AJOONI
Ajwa Fun World,526628.0,__NA__,Recreation / Amusement Parks,38.39,113.02,-8.28,28.22,-3.29,-4.74,-4.74,-4.75,-3.25,42.49,-6.24,27.02,2.52,28.22,-3.29,11.34,8.8,11.34,8.8,0.0,-0.6,-0.43,-0.47,-0.33,24.53,526628.0___NA__
Akanksha Power,-1.0,AKANKSHA,Electric Equipment,131.65,,,,,22.65,22.65,,,,,,,,,,,,,,,,,,243.79,-1.0_AKANKSHA
Akar Auto Indust,530621.0,__NA__,Auto Ancillaries,102.5,25.99,6.21,57.85,-0.61,11.79,2.14,10.26,10.16,32.13,5.21,8.09,10.77,57.85,-0.61,12.84,23.06,12.82,23.05,0.0,2.7,2.78,13.02,12.18,110.59,530621.0___NA__
Akash InfraProj.,-1.0,AKASH,Construction,33.47,-3.94,-8.4,-41.18,-33.05,-14.42,-7.51,-8.65,-8.96,-3.42,-6.99,-7.51,-10.22,-41.18,-33.05,-35.53,-35.09,-34.57,-31.26,0.0,1.13,2.13,5.03,5.56,56.44,-1.0_AKASH
AKG Exim,-1.0,AKG,Trading,22.3,20.71,9.28,3.98,7.35,18.62,18.62,,,6.0,-0.96,,,4.0,7.37,,,,,-9.92,1.68,,3.36,,70.85,-1.0_AKG
AKI India,542020.0,AKI,Leather / Leather Products,25.45,13.12,10.29,39.59,22.16,4.67,9.14,7.05,,6.59,5.28,7.37,,28.56,16.27,19.28,,37.02,,-19.24,1.01,0.55,2.9,2.42,218.26,542020.0_AKI
AKM Creations,540718.0,__NA__,Trading,121.7,43.9,-1.18,120.13,91.86,20.14,16.59,-5.78,41.99,196.25,26.58,1.77,,60.09,44.54,-22.62,,9.25,,-32.16,-0.02,0.0,0.01,0.03,158.36,540718.0___NA__
Akme Fintrade,544200.0,AFIL,Finance & Investments,113.2,-11.47,,-5.96,,-12.46,-12.46,,,-16.7,,,,-17.13,,,,,,,14.62,,62.55,,483.08,544200.0_AFIL
Aksh Optifibre,532351.0,AKSHOPTFBR,Cables - Telephone,8.15,-6.81,-16.11,10.77,,-9.4,-9.42,-10.76,-0.8,-16.12,-27.2,-14.87,-7.1,10.77,,,,,,-1.8,-14.73,2.15,8.57,27.17,132.59,532351.0_AKSHOPTFBR
Akshar Spintex,541303.0,AKSHAR,Textiles - Cotton/Blended,2.64,16.89,11.7,40.78,9.09,8.42,8.42,10.63,,18.06,0.69,2.36,,40.79,9.09,3.68,,4.28,,-34.02,0.64,1.87,3.43,4.65,79.2,541303.0_AKSHAR
AksharChem (I),524598.0,AKSHARCHEM,Dyes And Pigments,324.8,7.01,-1.32,,,-5.25,-9.75,2.84,7.62,-57.19,-44.57,-41.31,-24.61,,,,,,,0.0,4.76,15.33,9.66,25.11,260.92,524598.0_AKSHARCHEM
Akzo Nobel,500710.0,AKZOINDIA,Paints / Varnishes,2863.8,17.83,6.3,26.76,17.11,4.71,4.2,6.36,5.44,22.13,13.23,9.72,12.92,26.76,17.11,10.64,15.92,10.25,15.64,0.0,299.79,262.26,412.16,360.14,13041.83,500710.0_AKZOINDIA
Alacrity Sec.,535916.0,__NA__,Finance & Investments,92.9,38.71,39.58,78.3,37.25,8.42,64.15,39.42,65.15,70.7,51.74,42.35,32.05,78.3,37.25,57.32,43.94,57.32,43.94,9.22,2.68,0.75,5.13,2.41,224.45,535916.0___NA__
Alan Scott Inds.,539115.0,__NA__,Textiles - Products,81.3,731.55,,,,320.97,320.97,,,0.0,,,,,,,,,,18.77,,,,,29.02,539115.0___NA__
Alankit,531082.0,ALANKIT,Computers - Software - Medium / Small,20.97,27.02,12.62,29.75,9.04,23.53,11.43,15.67,,16.52,4.67,6.46,,4.82,-4.07,-2.2,,7.17,,-17.18,13.31,11.96,18.94,17.58,568.59,531082.0_ALANKIT
Albert David,524075.0,ALBERTDAVD,Pharmaceuticals - Indian - Bulk Drugs & Formln,1340.0,13.74,2.76,52.2,22.89,1.14,6.23,3.09,2.37,43.34,17.82,17.2,12.06,52.2,22.89,24.95,19.6,24.95,19.6,0.88,37.09,26.36,50.27,38.04,765.1,524075.0_ALBERTDAVD
Alchemist Corp.,531409.0,__NA__,Trading,13.36,,,-18.64,11.84,-89.13,-89.13,,,8.2,18.89,15.61,13.61,-18.64,11.84,12.35,9.6,12.35,9.6,0.0,-0.03,-0.07,-0.01,-0.06,6.56,531409.0___NA__
Alembic,506235.0,ALEMBICLTD,Construction,113.45,28.91,4.93,-7.47,4.85,-0.55,6.39,0.97,,88.41,19.24,17.73,,-7.47,4.85,9.38,,8.78,,0.0,270.52,221.42,79.74,56.29,2913.19,506235.0_ALEMBICLTD
Alembic Pharma,533573.0,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,911.6,4.92,9.62,-18.72,1.07,10.19,10.19,10.46,12.83,-15.04,1.7,6.46,10.23,-18.72,0.23,5.52,9.58,6.15,10.04,0.13,690.42,584.87,835.91,732.37,17918.7,533573.0_APLLTD
Alexander Stamps,511463.0,__NA__,Trading,14.59,-22.05,-18.96,,,-34.55,-34.55,-36.25,14.87,,,,,,,,,,,-11.03,-0.03,0.07,-0.03,0.12,13.59,511463.0___NA__
Alfa Ica (I),530973.0,__NA__,Miscellaneous,63.5,7.48,4.09,7.56,6.26,-0.74,0.75,4.6,1.81,5.1,2.01,4.84,3.21,7.56,6.26,8.16,8.84,8.16,8.84,0.0,1.48,1.33,3.54,3.35,25.66,530973.0___NA__
Alfa Transformer,517546.0,__NA__,Electric Equipment,91.53,37.54,-4.57,37.6,47.52,0.46,-40.11,10.42,6.88,39.54,22.9,43.57,20.0,37.6,47.52,21.27,15.12,24.73,18.73,-0.14,-3.08,-2.41,-2.29,-1.11,83.76,517546.0___NA__
Alfavision Overs,531156.0,__NA__,Miscellaneous,11.55,-66.4,-41.85,-40.66,36.08,1.08,1.08,-28.14,-22.19,-26.75,1.02,5.59,11.5,-40.68,36.06,-0.01,0.74,0.0,0.74,0.0,0.84,0.51,2.02,1.31,36.41,531156.0___NA__
Alfred Herbert,505216.0,__NA__,Finance & Investments,1465.0,-37.35,-32.9,59.97,-22.26,-32.35,-35.14,-24.37,-21.39,189.78,-24.52,14.25,-6.7,59.97,-22.26,13.12,-5.42,13.12,-5.42,0.07,0.81,0.38,0.94,0.54,112.81,505216.0___NA__
Algoquant Fin,505725.0,__NA__,Finance & Investments,1211.0,131.24,245.68,57.47,63.02,5.43,290.23,38.12,4.57,72.35,78.32,18.22,16.83,57.23,62.9,14.94,21.6,14.95,21.66,0.05,-0.97,2.31,3.29,4.97,973.16,505725.0___NA__
Alicon Cast.,531147.0,ALICON,Castings & Forgings,1246.1,22.49,5.57,223.17,3.16,11.29,11.29,10.57,11.34,32.29,5.98,12.22,13.23,208.68,-0.22,9.51,8.12,13.87,12.33,-6.91,30.46,30.98,75.99,74.03,2026.4,531147.0_ALICON
Alkali Metals,533029.0,ALKALI,Chemicals,151.7,14.37,2.98,39.32,-3.29,-0.99,-3.07,4.44,2.29,13.42,3.12,3.33,9.06,39.32,-3.29,13.48,10.55,13.48,10.55,-0.05,1.47,1.44,5.11,4.98,154.43,533029.0_ALKALI
Alkem Lab,539523.0,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,4975.25,12.63,11.48,6.74,19.85,13.42,9.21,12.12,15.07,6.16,16.17,12.61,16.02,6.74,19.85,11.31,-8.06,11.31,15.74,-3.42,1459.89,1070.24,1775.99,1339.29,59486.57,539523.0_ALKEM
Alkosign,543453.0,__NA__,Printing & Stationery,122.0,39.17,,5.73,,66.93,66.93,,,49.97,,,,-88.2,,,,,,,0.05,,1.04,,87.78,543453.0___NA__
Alkyl Amines,506767.0,ALKYLAMINE,Chemicals,2151.15,5.06,11.22,-20.33,12.35,9.15,17.31,16.3,12.44,-15.15,9.68,15.68,11.91,-20.39,12.29,16.79,13.29,16.83,13.32,-2.17,218.21,138.52,294.74,196.29,10999.08,506767.0_ALKYLAMINE
All E Tech,-1.0,ALLETEC,Computers - Software - Medium / Small,252.8,23.89,,31.5,,14.47,14.47,,,29.67,,,,-49.34,,,,,,,10.13,,13.76,,510.51,-1.0_ALLETEC
Allcargo Gati,532345.0,ACLGATI,Trading,112.1,8.91,-1.84,10.49,,1.44,-1.46,0.06,4.3,20.73,-10.61,-7.24,-3.59,11.61,,,,,,1.03,-32.55,-1.07,9.56,55.37,1460.17,532345.0_ACLGATI
Allcargo Logist.,532749.0,ALLCARGO,Miscellaneous,60.86,7.9,13.85,4.07,-10.93,6.55,6.55,13.06,10.5,-8.54,2.46,0.91,2.39,4.07,-10.93,-7.45,-0.85,-7.45,-1.11,-0.09,387.55,302.32,587.71,455.51,5981.2,532749.0_ALLCARGO
Allcargo Termi,543954.0,ATL,Miscellaneous,50.22,,,,,3.86,3.86,,,,,,,,,,,,,,,,,,1233.87,543954.0_ATL
Alliance Integ.,534064.0,__NA__,Steel - Medium / Small,81.0,-2.61,-7.28,3.53,-5.66,-20.86,8.19,-6.05,-8.85,84.26,-8.57,5.09,-5.01,6.7,-2.19,-9.88,,-16.64,,-8.41,-90.36,-67.37,-18.49,-10.28,1066.37,534064.0___NA__
Allied Digital,532875.0,ADSL,Computers - Software - Medium / Small,194.1,24.26,23.44,33.55,35.9,4.46,35.36,18.03,9.97,20.16,14.66,10.13,5.68,29.75,33.3,96.84,14.44,99.53,16.52,2.25,35.99,20.53,51.14,36.9,1075.46,532875.0_ADSL
Allsec Tech.,532633.0,ALLSEC,Computers - Software - Medium / Small,1201.0,19.26,12.44,22.57,26.96,12.74,14.64,5.71,8.93,20.9,24.2,8.89,18.52,22.57,26.96,1.04,16.25,1.04,16.25,0.0,44.53,37.37,63.64,50.06,1830.31,532633.0_ALLSEC
Almondz Global,531400.0,ALMONDZ,Finance & Investments,139.05,22.86,9.3,1.18,24.48,2.28,10.22,12.2,2.04,2.21,17.18,25.38,4.53,0.0,23.61,67.47,14.0,68.31,14.4,-0.02,15.26,9.67,20.0,14.54,384.96,531400.0_ALMONDZ
Alok Industries,521070.0,ALOKINDS,Textiles - Processing,29.09,12.71,10.45,19.42,12.84,-20.58,-1.63,-6.35,-12.68,-31.54,21.1,10.85,-35.08,19.42,14.32,9.77,,7.99,,0.0,-1109.1,-3614.46,-221.07,-1713.96,14443.86,521070.0_ALOKINDS
Alpa Laboratorie,532878.0,ALPA,Pharmaceuticals - Indian - Formulations,85.71,3.78,7.16,47.87,80.74,10.93,13.96,8.0,6.79,36.72,30.7,10.34,13.95,47.87,80.74,26.77,18.05,26.77,18.05,0.63,8.46,5.59,11.59,8.69,180.33,532878.0_ALPA
Alpex Solar,-1.0,ALPEXSOLAR,Electric Equipment,968.0,40.57,,95.95,,17.59,17.59,,,55.86,,,,,,,,,,,6.51,,12.98,,2369.02,-1.0_ALPEXSOLAR
Alphageo (India),526397.0,ALPHAGEO,Miscellaneous,386.85,-11.66,-24.61,-35.49,-47.63,-5.67,-33.96,-14.92,0.46,-12.44,-24.51,-18.04,-4.19,-35.49,-47.63,-38.57,-25.18,-38.23,-24.27,-0.12,1.68,18.32,6.73,30.95,246.2,526397.0_ALPHAGEO
Alphalogic Indu,543937.0,__NA__,Engineering,307.5,145.32,,208.55,,143.48,143.48,,,174.08,,,,-16.77,,,,,,,,,,,313.32,543937.0___NA__
Alphalogic Tech.,542770.0,__NA__,Computers - Software - Medium / Small,267.95,114.28,,81.6,,84.86,84.86,,,74.74,,,,74.26,,,,,,-0.97,2.36,,4.16,,1255.46,542770.0___NA__
Alpine Housing,526519.0,__NA__,Construction,129.0,10.94,13.2,6.33,2.97,6.48,6.48,11.01,3.92,1.74,0.37,3.19,6.72,6.33,2.97,1.85,7.38,1.87,7.33,0.09,2.86,2.89,5.83,5.38,223.44,526519.0___NA__
Alps Industries,530715.0,ALPSINDUS,Textiles - Products,4.1,-80.41,-65.14,9.92,5.89,-18.86,-18.86,-54.87,-45.46,29.07,-20.37,10.91,-24.14,9.92,5.89,6.44,4.28,6.44,4.28,-4.86,-79.39,-79.89,-21.19,-34.18,16.03,530715.0_ALPSINDUS
Alstone Textiles,539277.0,__NA__,Trading,0.82,,,264.26,122.17,-80.95,-100.0,9.2,43.61,264.26,127.97,94.22,50.49,264.28,122.17,114.44,,114.44,50.49,-4.93,0.66,0.34,0.67,0.35,104.54,539277.0___NA__
Alufluoride,524634.0,__NA__,Chemicals,500.95,62.34,20.25,225.2,19.84,21.01,21.01,24.13,19.0,149.02,27.93,38.51,32.41,225.2,17.21,31.72,32.55,33.82,34.03,0.09,9.07,6.67,14.54,10.18,391.79,524634.0___NA__
Aluwind,-1.0,ALUWIND,Construction,67.5,58.08,,113.02,,68.6,68.6,,,79.78,,,,-61.5,,,,,,,,,,,167.72,-1.0_ALUWIND
Amal,506597.0,__NA__,Chemicals,369.9,41.45,,-42.19,,40.39,40.39,,,7.53,,,,-42.13,,,,,,5.19,0.85,,4.66,,457.31,506597.0___NA__
Amalgamated Elec,501622.0,__NA__,Miscellaneous,47.69,,,6.27,7.39,-90.0,-100.0,0.0,,6.27,7.39,-2.18,,6.27,7.32,-2.34,,-2.18,,0.0,-0.16,-0.11,-0.16,-0.1,13.24,501622.0___NA__
Amanaya Ventures,543804.0,__NA__,Trading,24.75,70.74,,115.44,,39.73,39.73,,,74.72,,,,37.3,,,,,,,0.05,,0.07,,9.25,543804.0___NA__
